stock_code,forecast_origin,target_month,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,rolling_median_6,rolling_std_3,rolling_max_6,nonzero_months_6,months_since_last_sale,product_age_months,invoice_count_lag_1,avg_unit_price_lag_1,target_month_of_year,target_quarter,y,is_active
10109,2010-05,2010-06,0,0,0,0.000000,0.666667,0.000000,0.000000,4,1,6,6,0,0.420000,6,2,0,True
10120,2010-02,2010-03,5,32,115,50.666667,50.666667,32.000000,46.806932,115,3,1,3,2,0.430000,3,1,68,True
10120,2010-03,2010-04,68,5,32,35.000000,55.000000,50.000000,25.806976,115,4,1,4,4,0.210000,4,2,60,True
10120,2010-04,2010-05,60,68,5,44.333333,56.000000,60.000000,28.003968,115,5,1,5,2,0.210000,5,2,4,True
10120,2010-05,2010-06,4,60,68,44.000000,47.333333,46.000000,28.472209,115,6,1,6,1,0.210000,6,2,30,True
10120,2010-06,2010-07,30,4,60,31.333333,33.166667,31.000000,22.881336,68,6,1,7,1,0.210000,7,3,3,True
10120,2010-07,2010-08,3,30,4,12.333333,28.333333,17.500000,12.498889,68,6,1,8,1,0.210000,8,3,0,True
10120,2010-08,2010-09,0,3,30,11.000000,27.500000,17.000000,13.490738,68,5,2,9,0,0.210000,9,3,9,True
10120,2010-09,2010-10,9,0,3,4.000000,17.666667,6.500000,3.741657,60,5,1,10,2,0.210000,10,4,71,True
10120,2010-10,2010-11,71,9,0,26.666667,19.500000,6.500000,31.562988,71,5,1,11,4,0.210000,11,4,75,True
10120,2010-11,2010-12,75,71,9,51.666667,31.333333,19.500000,30.214051,75,5,1,12,12,0.210000,12,4,16,True
10120,2010-12,2011-01,16,75,71,54.000000,29.000000,12.500000,26.919633,75,5,1,13,4,0.210000,1,1,0,True
10120,2011-01,2011-02,0,16,75,30.333333,28.500000,12.500000,32.252476,75,4,2,14,0,0.210000,2,1,30,True
10120,2011-02,2011-03,30,0,16,15.333333,33.500000,23.000000,12.256518,75,5,1,15,1,0.210000,3,1,28,True
10120,2011-03,2011-04,28,30,0,19.333333,36.666667,29.000000,13.695092,75,5,1,16,4,0.210000,4,2,0,True
10120,2011-04,2011-05,0,28,30,19.333333,24.833333,22.000000,13.695092,75,4,2,17,0,0.210000,5,2,3,True
10120,2011-05,2011-06,3,0,28,10.333333,12.833333,9.500000,12.552114,30,4,1,18,2,0.210000,6,2,0,True
10120,2011-06,2011-07,0,3,0,1.000000,10.166667,1.500000,1.414214,30,3,2,19,0,0.210000,7,3,5,True
10120,2011-07,2011-08,5,0,3,2.666667,11.000000,4.000000,2.054805,30,4,1,20,1,0.210000,8,3,35,True
10120,2011-08,2011-09,35,5,0,13.333333,11.833333,4.000000,15.456031,35,4,1,21,2,0.210000,9,3,10,True
10120,2011-09,2011-10,10,35,5,16.666667,8.833333,4.000000,13.123346,35,4,1,22,4,0.210000,10,4,10,True
10120,2011-10,2011-11,10,10,35,18.333333,10.500000,7.500000,11.785113,35,5,1,23,2,0.210000,11,4,49,True
10123C,2010-02,2010-03,13,30,142,61.666667,61.666667,30.000000,57.226645,142,3,1,3,2,0.650000,3,1,18,True
10123C,2010-03,2010-04,18,13,30,20.333333,50.750000,24.000000,7.133645,142,4,1,4,5,0.790000,4,2,16,True
10123C,2010-04,2010-05,16,18,13,15.666667,43.800000,18.000000,2.054805,142,5,1,5,4,0.728750,5,2,51,True
10123C,2010-05,2010-06,51,16,18,28.333333,45.000000,24.000000,16.048537,142,6,1,6,6,0.674706,6,2,2,True
10123C,2010-06,2010-07,2,51,16,23.000000,21.666667,17.000000,20.607442,51,6,1,7,2,0.965000,7,3,3,True
10123C,2010-07,2010-08,3,2,51,18.666667,17.166667,14.500000,22.866764,51,6,1,8,3,0.650000,8,3,164,True
10123C,2010-08,2010-09,164,3,2,56.333333,42.333333,17.000000,76.132925,164,6,1,9,5,0.135793,9,3,180,True
10123C,2010-09,2010-10,180,164,3,115.666667,69.333333,33.500000,79.934696,180,6,1,10,4,0.178000,10,4,4,True
10123C,2010-10,2010-11,4,180,164,116.000000,67.333333,27.500000,79.464877,180,6,1,11,4,0.650000,11,4,22,True
10123C,2010-11,2010-12,22,4,180,68.666667,62.500000,13.000000,79.066779,180,6,1,12,6,0.650000,12,4,1,True
10123C,2010-12,2011-01,1,22,4,9.000000,62.333333,13.000000,9.273618,180,6,1,13,1,0.650000,1,1,0,True
10123C,2011-01,2011-02,0,1,22,7.666667,61.833333,13.000000,10.143416,180,5,2,14,0,0.650000,2,1,0,True
10123C,2011-02,2011-03,0,0,1,0.333333,34.500000,2.500000,0.471405,180,4,3,15,0,0.650000,3,1,4,True
10123C,2011-03,2011-04,4,0,0,1.333333,5.166667,2.500000,1.885618,22,4,1,16,2,0.650000,4,2,0,True
10123C,2011-04,2011-05,0,4,0,1.333333,4.500000,0.500000,1.885618,22,3,2,17,0,0.650000,5,2,0,True
10123C,2011-05,2011-06,0,0,4,1.333333,0.833333,0.000000,1.885618,4,2,3,18,0,0.650000,6,2,0,True
10123C,2011-06,2011-07,0,0,0,0.000000,0.666667,0.000000,0.000000,4,1,4,19,0,0.650000,7,3,0,True
10123C,2011-07,2011-08,0,0,0,0.000000,0.666667,0.000000,0.000000,4,1,5,20,0,0.650000,8,3,0,True
10123C,2011-08,2011-09,0,0,0,0.000000,0.666667,0.000000,0.000000,4,1,6,21,0,0.650000,9,3,0,True
10123G,2010-02,2010-03,0,0,2,0.666667,0.666667,0.000000,0.942809,2,1,3,3,0,1.700000,3,1,0,True
10123G,2010-03,2010-04,0,0,0,0.000000,0.500000,0.000000,0.000000,2,1,4,4,0,1.700000,4,2,0,True
10123G,2010-04,2010-05,0,0,0,0.000000,0.400000,0.000000,0.000000,2,1,5,5,0,1.700000,5,2,0,True
10123G,2010-05,2010-06,0,0,0,0.000000,0.333333,0.000000,0.000000,2,1,6,6,0,1.700000,6,2,0,True
10123G,2010-07,2010-08,18,0,0,6.000000,3.000000,0.000000,8.485281,18,1,1,8,3,0.650000,8,3,1104,True
10123G,2010-08,2010-09,1104,18,0,374.000000,187.000000,0.000000,516.240254,1104,2,1,9,1,0.060000,9,3,1104,True
10123G,2010-09,2010-10,1104,1104,18,742.000000,371.000000,9.000000,511.945310,1104,3,1,10,1,0.060000,10,4,2,True
10123G,2010-10,2010-11,2,1104,1104,736.666667,371.333333,10.000000,519.487782,1104,4,1,11,2,0.650000,11,4,21,True
10123G,2010-11,2010-12,21,2,1104,375.666667,374.833333,19.500000,515.067849,1104,5,1,12,8,0.794286,12,4,0,True
10123G,2010-12,2011-01,0,21,2,7.666667,374.833333,19.500000,9.463380,1104,5,2,13,0,0.794286,1,1,0,True
10123G,2011-01,2011-02,0,0,21,7.000000,371.833333,11.500000,9.899495,1104,4,3,14,0,0.794286,2,1,0,True
10123G,2011-02,2011-03,0,0,0,0.000000,187.833333,1.000000,0.000000,1104,3,4,15,0,0.794286,3,1,0,True
10123G,2011-03,2011-04,0,0,0,0.000000,3.833333,0.000000,0.000000,21,2,5,16,0,0.794286,4,2,0,True
10123G,2011-04,2011-05,0,0,0,0.000000,3.500000,0.000000,0.000000,21,1,6,17,0,0.794286,5,2,0,True
10124A,2010-03,2010-04,3,0,0,1.000000,0.750000,0.000000,1.414214,3,1,1,1,1,0.420000,4,2,1,True
10124A,2010-04,2010-05,1,3,0,1.333333,0.800000,0.000000,1.247219,3,2,1,2,1,0.420000,5,2,0,True
10124A,2010-05,2010-06,0,1,3,1.333333,0.666667,0.000000,1.247219,3,2,2,3,0,0.420000,6,2,3,True
10124A,2010-06,2010-07,3,0,1,1.333333,1.166667,0.500000,1.247219,3,3,1,4,1,0.420000,7,3,2,True
10124A,2010-07,2010-08,2,3,0,1.666667,1.500000,1.500000,1.247219,3,4,1,5,1,0.420000,8,3,5,True
10124A,2010-08,2010-09,5,2,3,3.333333,2.333333,2.500000,1.247219,5,5,1,6,1,0.420000,9,3,21,True
10124A,2010-09,2010-10,21,5,2,9.333333,5.333333,2.500000,8.339997,21,5,1,7,4,0.420000,10,4,4,True
10124A,2010-10,2010-11,4,21,5,10.000000,5.833333,3.500000,7.788881,21,5,1,8,2,0.420000,11,4,3,True
10124A,2010-11,2010-12,3,4,21,9.333333,6.333333,3.500000,8.259674,21,6,1,9,2,0.420000,12,4,4,True
10124A,2010-12,2011-01,4,3,4,3.666667,6.500000,4.000000,0.471405,21,6,1,10,1,0.420000,1,1,0,True
10124A,2011-01,2011-02,0,4,3,2.333333,6.166667,4.000000,1.699673,21,5,2,11,0,0.420000,2,1,3,True
10124A,2011-02,2011-03,3,0,4,2.333333,5.833333,3.500000,1.699673,21,5,1,12,1,0.420000,3,1,5,True
10124A,2011-03,2011-04,5,3,0,2.666667,3.166667,3.500000,2.054805,5,5,1,13,2,0.420000,4,2,0,True
10124A,2011-04,2011-05,0,5,3,2.666667,2.500000,3.000000,2.054805,5,4,2,14,0,0.420000,5,2,0,True
10124A,2011-05,2011-06,0,0,5,1.666667,2.000000,1.500000,2.357023,5,3,3,15,0,0.420000,6,2,0,True
10124A,2011-06,2011-07,0,0,0,0.000000,1.333333,0.000000,0.000000,5,2,4,16,0,0.420000,7,3,0,True
10124A,2011-07,2011-08,0,0,0,0.000000,1.333333,0.000000,0.000000,5,2,5,17,0,0.420000,8,3,0,True
10124A,2011-08,2011-09,0,0,0,0.000000,0.833333,0.000000,0.000000,5,1,6,18,0,0.420000,9,3,0,True
10124G,2010-05,2010-06,2,0,0,0.666667,0.333333,0.000000,0.942809,2,1,1,1,2,0.630000,6,2,3,True
10124G,2010-06,2010-07,3,2,0,1.666667,0.833333,0.000000,1.247219,3,2,1,2,1,0.420000,7,3,0,True
10124G,2010-07,2010-08,0,3,2,1.666667,0.833333,0.000000,1.247219,3,2,2,3,0,0.420000,8,3,5,True
10124G,2010-08,2010-09,5,0,3,2.666667,1.666667,1.000000,2.054805,5,3,1,4,1,0.420000,9,3,4,True
10124G,2010-09,2010-10,4,5,0,3.000000,2.333333,2.500000,2.160247,5,4,1,5,1,0.420000,10,4,2,True
10124G,2010-10,2010-11,2,4,5,3.666667,2.666667,2.500000,1.247219,5,5,1,6,1,0.420000,11,4,0,True
10124G,2010-11,2010-12,0,2,4,2.000000,2.333333,2.500000,1.632993,5,4,2,7,0,0.420000,12,4,5,True
10124G,2010-12,2011-01,5,0,2,2.333333,2.666667,3.000000,2.054805,5,4,1,8,1,0.420000,1,1,0,True
10124G,2011-01,2011-02,0,5,0,1.666667,2.666667,3.000000,2.357023,5,4,2,9,0,0.420000,2,1,0,True
10124G,2011-02,2011-03,0,0,5,1.666667,1.833333,1.000000,2.357023,5,3,3,10,0,0.420000,3,1,4,True
10124G,2011-03,2011-04,4,0,0,1.333333,1.833333,1.000000,1.885618,5,3,1,11,1,0.420000,4,2,0,True
10124G,2011-04,2011-05,0,4,0,1.333333,1.500000,0.000000,1.885618,5,2,2,12,0,0.420000,5,2,0,True
10124G,2011-05,2011-06,0,0,4,1.333333,1.500000,0.000000,1.885618,5,2,3,13,0,0.420000,6,2,0,True
10124G,2011-06,2011-07,0,0,0,0.000000,0.666667,0.000000,0.000000,4,1,4,14,0,0.420000,7,3,0,True
10124G,2011-07,2011-08,0,0,0,0.000000,0.666667,0.000000,0.000000,4,1,5,15,0,0.420000,8,3,0,True
10124G,2011-08,2011-09,0,0,0,0.000000,0.666667,0.000000,0.000000,4,1,6,16,0,0.420000,9,3,4,True
10124G,2011-09,2011-10,4,0,0,1.333333,0.666667,0.000000,1.885618,4,1,1,17,1,0.420000,10,4,0,True
10124G,2011-10,2011-11,0,4,0,1.333333,0.666667,0.000000,1.885618,4,1,2,18,0,0.420000,11,4,4,True
10125,2010-02,2010-03,45,3,127,58.333333,58.333333,45.000000,51.493257,127,3,1,3,6,0.904000,3,1,110,True
10125,2010-03,2010-04,110,45,3,52.666667,71.250000,77.500000,44.017673,127,4,1,4,7,1.026727,4,2,20,True
10125,2010-04,2010-05,20,110,45,58.333333,61.000000,45.000000,37.932689,127,5,1,5,1,0.850000,5,2,20,True
10125,2010-05,2010-06,20,20,110,50.000000,54.166667,32.500000,42.426407,127,6,1,6,1,0.850000,6,2,64,True
10125,2010-06,2010-07,64,20,20,34.666667,43.666667,32.500000,20.741799,110,6,1,7,7,0.862656,7,3,105,True
10125,2010-07,2010-08,105,64,20,63.000000,60.666667,54.500000,34.708308,110,6,1,8,6,0.850000,8,3,0,True
10125,2010-08,2010-09,0,105,64,56.333333,53.166667,42.000000,43.207510,110,5,2,9,0,0.850000,9,3,65,True
10125,2010-09,2010-10,65,0,105,56.666667,45.666667,42.000000,43.269183,105,5,1,10,5,0.850000,10,4,120,True
10125,2010-10,2010-11,120,65,0,61.666667,62.333333,64.500000,49.046463,120,5,1,11,14,0.863500,11,4,129,True
10125,2010-11,2010-12,129,120,65,104.666667,80.500000,85.000000,28.288199,129,5,1,12,12,0.887674,12,4,154,True
10125,2010-12,2011-01,154,129,120,134.333333,95.500000,112.500000,14.383633,154,5,1,13,11,0.590000,1,1,213,True
10125,2011-01,2011-02,213,154,129,165.333333,113.500000,124.500000,35.216789,213,5,1,14,28,0.514789,2,1,0,True
10125,2011-02,2011-03,0,213,154,122.333333,113.500000,124.500000,89.793590,213,5,2,15,0,0.514789,3,1,114,True
10125,2011-03,2011-04,114,0,213,109.000000,121.666667,124.500000,87.028731,213,5,1,16,11,0.863684,4,2,82,True
10125,2011-04,2011-05,82,114,0,65.333333,115.333333,121.500000,48.009258,213,5,1,17,6,0.850000,5,2,107,True
10125,2011-05,2011-06,107,82,114,101.000000,111.666667,110.500000,13.735599,213,5,1,18,6,0.850000,6,2,15,True
10125,2011-06,2011-07,15,107,82,68.000000,88.500000,94.500000,38.841558,213,5,1,19,3,0.954000,7,3,176,True
10125,2011-07,2011-08,176,15,107,99.333333,82.333333,94.500000,65.951160,176,5,1,20,9,0.854432,8,3,85,True
10125,2011-08,2011-09,85,176,15,92.000000,96.500000,96.000000,65.914085,176,6,1,21,4,0.850000,9,3,210,True
10125,2011-09,2011-10,210,85,176,157.000000,112.500000,96.000000,52.769941,210,6,1,22,4,0.850000,10,4,51,True
10125,2011-10,2011-11,51,210,85,115.333333,107.333333,96.000000,68.363408,210,6,1,23,5,0.865294,11,4,62,True
10133,2010-02,2010-03,102,162,154,139.333333,139.333333,154.000000,26.599916,162,3,1,3,7,0.897647,3,1,41,True
10133,2010-03,2010-04,41,102,162,101.666667,114.750000,128.000000,49.398605,162,4,1,4,9,0.968537,4,2,45,True
10133,2010-04,2010-05,45,41,102,62.666667,100.800000,102.000000,27.860765,162,5,1,5,6,0.821111,5,2,86,True
10133,2010-05,2010-06,86,45,41,57.333333,98.333333,94.000000,20.336065,162,6,1,6,7,0.891395,6,2,30,True
10133,2010-06,2010-07,30,86,45,53.666667,77.666667,65.500000,23.669014,162,6,1,7,2,0.850000,7,3,72,True
10133,2010-07,2010-08,72,30,86,62.666667,62.666667,58.500000,23.795424,102,6,1,8,6,0.850000,8,3,65,True
10133,2010-08,2010-09,65,72,30,55.666667,56.500000,55.000000,18.372685,86,6,1,9,7,0.850000,9,3,47,True
10133,2010-09,2010-10,47,65,72,61.333333,57.500000,56.000000,10.530379,86,6,1,10,6,0.918936,10,4,104,True
10133,2010-10,2010-11,104,47,65,72.000000,67.333333,68.500000,23.790755,104,6,1,11,11,0.850000,11,4,73,True
10133,2010-11,2010-12,73,104,47,74.666667,65.166667,68.500000,23.299976,104,6,1,12,12,0.883288,12,4,130,True
10133,2010-12,2011-01,130,73,104,102.333333,81.833333,72.500000,23.299976,130,6,1,13,15,0.655923,1,1,180,True
10133,2011-01,2011-02,180,130,73,127.666667,99.833333,88.500000,43.713715,180,6,1,14,21,0.632444,2,1,39,True
10133,2011-02,2011-03,39,180,130,116.333333,95.500000,88.500000,58.368561,180,6,1,15,6,0.890000,3,1,83,True
10133,2011-03,2011-04,83,39,180,100.666667,101.500000,93.500000,58.902933,180,6,1,16,7,0.850000,4,2,76,True
10133,2011-04,2011-05,76,83,39,66.000000,96.833333,79.500000,19.304576,180,6,1,17,3,0.860263,5,2,33,True
10133,2011-05,2011-06,33,76,83,64.000000,90.166667,79.500000,22.105806,180,6,1,18,4,0.850000,6,2,525,True
10133,2011-06,2011-07,525,33,76,211.333333,156.000000,79.500000,222.489450,525,6,1,19,41,0.507010,7,3,830,True
10133,2011-07,2011-08,830,525,33,462.666667,264.333333,79.500000,328.345685,830,6,1,20,53,0.502000,8,3,753,True
10133,2011-08,2011-09,753,830,525,702.666667,383.333333,304.000000,129.502467,830,6,1,21,37,0.486972,9,3,207,True
10133,2011-09,2011-10,207,753,830,596.666667,404.000000,366.000000,277.323317,830,6,1,22,9,0.445749,10,4,0,True
10133,2011-10,2011-11,0,207,753,320.000000,391.333333,366.000000,317.625566,830,5,2,23,0,0.445749,11,4,0,True
10134,2010-02,2010-03,33,215,53,100.333333,100.333333,53.000000,81.491649,215,3,1,3,5,1.250000,3,1,64,True
10134,2010-03,2010-04,64,33,215,104.000000,91.250000,58.500000,79.502621,215,4,1,4,8,1.250000,4,2,19,True
10134,2010-04,2010-05,19,64,33,38.666667,76.800000,53.000000,18.803073,215,5,1,5,5,1.250000,5,2,10,True
10134,2010-05,2010-06,10,19,64,31.000000,65.666667,43.000000,23.622024,215,6,1,6,1,1.250000,6,2,17,True
10134,2010-06,2010-07,17,10,19,15.333333,59.666667,26.000000,3.858612,215,6,1,7,3,1.250000,7,3,13,True
10134,2010-07,2010-08,13,17,10,13.333333,26.000000,18.000000,2.867442,64,6,1,8,3,1.250000,8,3,142,True
10134,2010-08,2010-09,142,13,17,57.333333,44.166667,18.000000,59.890641,142,6,1,9,3,1.076056,9,3,3,True
10134,2010-09,2010-10,3,142,13,52.666667,34.000000,15.000000,63.299991,142,6,1,10,2,1.250000,10,4,28,True
10134,2010-10,2010-11,28,3,142,57.666667,35.500000,15.000000,60.499770,142,6,1,11,5,1.250000,11,4,28,True
10134,2010-11,2010-12,28,28,3,19.666667,38.500000,22.500000,11.785113,142,6,1,12,4,1.250000,12,4,0,True
10134,2010-12,2011-01,0,28,28,18.666667,35.666667,20.500000,13.199327,142,5,2,13,0,1.250000,1,1,0,True
10134,2011-01,2011-02,0,0,28,9.333333,33.500000,15.500000,13.199327,142,4,3,14,0,1.250000,2,1,0,True
10134,2011-02,2011-03,0,0,0,0.000000,9.833333,1.500000,0.000000,28,3,4,15,0,1.250000,3,1,0,True
10134,2011-03,2011-04,0,0,0,0.000000,9.333333,0.000000,0.000000,28,2,5,16,0,1.250000,4,2,0,True
10134,2011-04,2011-05,0,0,0,0.000000,4.666667,0.000000,0.000000,28,1,6,17,0,1.250000,5,2,0,True
10135,2010-02,2010-03,868,48,123,346.333333,346.333333,123.000000,370.142615,868,3,1,3,17,1.093848,3,1,101,True
10135,2010-03,2010-04,101,868,48,339.000000,285.000000,112.000000,374.684756,868,4,1,4,12,1.262475,4,2,70,True
10135,2010-04,2010-05,70,101,868,346.333333,242.000000,101.000000,369.091076,868,5,1,5,11,1.283857,5,2,133,True
10135,2010-05,2010-06,133,70,101,101.333333,223.833333,112.000000,25.720722,868,6,1,6,4,1.107143,6,2,73,True
10135,2010-06,2010-07,73,133,70,92.000000,215.500000,87.000000,29.017236,868,6,1,7,7,1.250000,7,3,53,True
10135,2010-07,2010-08,53,73,133,86.333333,216.333333,87.000000,33.993463,868,6,1,8,5,1.250000,8,3,74,True
10135,2010-08,2010-09,74,53,73,66.666667,84.000000,73.500000,9.672412,133,6,1,9,8,1.250000,9,3,45,True
10135,2010-09,2010-10,45,74,53,57.333333,74.666667,71.500000,12.229291,133,6,1,10,8,1.306000,10,4,84,True
10135,2010-10,2010-11,84,45,74,67.666667,77.000000,73.500000,16.539515,133,6,1,11,17,1.265000,11,4,325,True
10135,2010-11,2010-12,325,84,45,151.333333,109.000000,73.500000,123.828735,325,6,1,12,30,1.222554,12,4,411,True
10135,2010-12,2011-01,411,325,84,273.333333,165.333333,79.000000,138.406005,411,6,1,13,31,0.678881,1,1,613,True
10135,2011-01,2011-02,613,411,325,449.666667,258.666667,204.500000,120.712698,613,6,1,14,42,0.795073,2,1,272,True
10135,2011-02,2011-03,272,613,411,432.000000,291.666667,298.500000,140.002381,613,6,1,15,12,1.089301,3,1,118,True
10135,2011-03,2011-04,118,272,613,334.333333,303.833333,298.500000,206.833803,613,6,1,16,9,0.838220,4,2,30,True
10135,2011-04,2011-05,30,118,272,140.000000,294.833333,298.500000,100.013332,613,6,1,17,5,1.250000,5,2,13,True
10135,2011-05,2011-06,13,30,118,53.666667,242.833333,195.000000,46.016905,613,6,1,18,3,1.715385,6,2,55,True
10135,2011-06,2011-07,55,13,30,32.666667,183.500000,86.500000,17.249799,613,6,1,19,8,1.250000,7,3,177,True
10135,2011-07,2011-08,177,55,13,81.666667,110.833333,86.500000,69.557330,272,6,1,20,9,1.250000,8,3,151,True
10135,2011-08,2011-09,151,177,55,127.666667,90.666667,86.500000,52.467980,177,6,1,21,4,1.124172,9,3,70,True
10135,2011-09,2011-10,70,151,177,132.666667,82.666667,62.500000,45.565582,177,6,1,22,11,1.422857,10,4,69,True
10135,2011-10,2011-11,69,70,151,96.666667,89.166667,69.500000,38.421637,177,6,1,23,13,1.477971,11,4,181,True
10138,2010-02,2010-03,36,15,176,75.666667,75.666667,36.000000,71.462500,176,3,1,3,3,0.420000,3,1,13,True
10138,2010-03,2010-04,13,36,15,21.333333,60.000000,25.500000,10.402991,176,4,1,4,2,0.420000,4,2,21,True
