stock_code,description,abc_class,period_type,period,model,forecast,safety_stock,target_inventory,actual,n_months,months_included,complete,source,run_id
15044D,RED PAPER PARASOL,A,month,2011-06,M2_gbm_poisson,68.192727,86.855104,156,35.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15056BL,EDWARDIAN PARASOL BLACK,A,month,2011-06,M2_gbm_poisson,209.858251,225.490952,436,155.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15056N,EDWARDIAN PARASOL NATURAL,A,month,2011-06,M2_gbm_poisson,336.335624,289.474094,626,409.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15056P,EDWARDIAN PARASOL PINK,A,month,2011-06,M2_gbm_poisson,77.726309,124.521336,203,33.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15058A,BLUE POLKADOT GARDEN PARASOL,B,month,2011-06,M2_gbm_poisson,56.094954,25.565278,82,65.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15058B,PINK POLKADOT GARDEN PARASOL,B,month,2011-06,M2_gbm_poisson,64.273637,29.181814,94,59.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15058C,ICE CREAM DESIGN GARDEN PARASOL,B,month,2011-06,M2_gbm_poisson,77.556133,37.096963,115,60.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15060B,FAIRY CAKE DESIGN UMBRELLA,A,month,2011-06,M2_gbm_poisson,37.121746,39.273922,77,16.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16008,SMALL FOLDING SCISSOR(POINTED EDGE),C,month,2011-06,M2_gbm_poisson,25.106671,74.996949,101,49.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16010,FOLDING CAMPING SCISSOR W/KNIF & S,C,month,2011-06,M2_gbm_poisson,5.063126,17.174181,23,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16011,ANIMAL STICKERS,C,month,2011-06,M2_gbm_poisson,98.711920,173.908975,273,54.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16012,FOOD/DRINK SPONGE STICKERS,C,month,2011-06,M2_gbm_poisson,104.762825,328.719485,434,24.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16014,SMALL CHINESE STYLE SCISSOR,A,month,2011-06,M2_gbm_poisson,1023.786956,3592.231969,4617,32.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16015,MEDIUM CHINESE STYLE SCISSOR,C,month,2011-06,M2_gbm_poisson,78.314891,161.721604,241,30.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16016,LARGE CHINESE STYLE SCISSOR,B,month,2011-06,M2_gbm_poisson,100.724010,102.874408,204,110.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16020C,CLEAR STATIONERY BOX SET,C,month,2011-06,M2_gbm_poisson,4.272632,24.478412,29,61.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16033,MINI HIGHLIGHTER PENS,B,month,2011-06,M2_gbm_poisson,4.850912,598.372838,604,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16045,POPART WOODEN PENCILS ASST,C,month,2011-06,M2_gbm_poisson,12.786040,132.159921,145,1200.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16046,TEATIME PEN CASE & PENS,B,month,2011-06,M2_gbm_poisson,11.955141,179.859997,192,1.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16048,TEATIME ROUND PENCIL SHARPENER,C,month,2011-06,M2_gbm_poisson,77.177096,178.131214,256,288.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16049,TEATIME GEL PENS ASST,C,month,2011-06,M2_gbm_poisson,124.124438,150.519547,275,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16052,TEATIME PUSH DOWN RUBBER,C,month,2011-06,M2_gbm_poisson,54.161344,74.950273,130,395.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16054,POPART RECT PENCIL SHARPENER ASST,C,month,2011-06,M2_gbm_poisson,1.764442,5.137666,7,108.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16151A,FLOWERS HANDBAG blue and orange,C,month,2011-06,M2_gbm_poisson,66.831673,1.016167,68,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16156L,"WRAP, CAROUSEL",C,month,2011-06,M2_gbm_poisson,50.954195,12.478400,64,50.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16156S,WRAP PINK FAIRY CAKES,A,month,2011-06,M2_gbm_poisson,540.771156,629.166787,1170,275.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16161G,WRAP BAD HAIR DAY,C,month,2011-06,M2_gbm_poisson,90.581262,63.863991,155,25.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16161M,WRAP  PINK FLOCK,C,month,2011-06,M2_gbm_poisson,1.814719,30.968187,33,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16161P,WRAP ENGLISH ROSE,A,month,2011-06,M2_gbm_poisson,495.358241,405.422146,901,1150.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16161U,WRAP SUKI AND FRIENDS,B,month,2011-06,M2_gbm_poisson,351.837804,364.869440,717,200.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16162L,THE KING GIFT BAG,C,month,2011-06,M2_gbm_poisson,2.051462,39.564052,42,5.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16168M,FUNKY MONKEY GIFT BAG MEDIUM,C,month,2011-06,M2_gbm_poisson,50.382487,26.243380,77,41.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16169K,WRAP FOLK ART,C,month,2011-06,M2_gbm_poisson,28.867781,100.974495,130,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16169M,WRAP DAISY CARPET,C,month,2011-06,M2_gbm_poisson,62.755347,131.661698,195,50.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16169N,WRAP BLUE RUSSIAN FOLKART,C,month,2011-06,M2_gbm_poisson,1.814719,95.127252,97,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16169P,WRAP GREEN RUSSIAN FOLKART,C,month,2011-06,M2_gbm_poisson,1.814719,45.812206,48,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16202A,PASTEL PINK PHOTO ALBUM,C,month,2011-06,M2_gbm_poisson,5.463379,22.801594,29,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16202B,PASTEL BLUE PHOTO ALBUM,C,month,2011-06,M2_gbm_poisson,14.878226,64.351950,80,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16202E,BLACK PHOTO ALBUM,C,month,2011-06,M2_gbm_poisson,7.411383,5.516510,13,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16206B,RED PURSE WITH PINK HEART,C,month,2011-06,M2_gbm_poisson,2.007555,23.750398,26,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16207A,PINK STRAWBERRY HANDBAG,C,month,2011-06,M2_gbm_poisson,40.057724,21.221611,62,14.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16207B,PINK HEART RED HANDBAG,C,month,2011-06,M2_gbm_poisson,8.305587,3.864682,13,9.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16216,LETTER SHAPE PENCIL SHARPENER,C,month,2011-06,M2_gbm_poisson,28.367997,148.564885,177,1726.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16218,CARTOON  PENCIL SHARPENERS,C,month,2011-06,M2_gbm_poisson,36.349724,179.200749,216,1216.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16219,HOUSE SHAPE PENCIL SHARPENER,C,month,2011-06,M2_gbm_poisson,27.341188,83.017786,111,295.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16225,RATTLE SNAKE EGGS,C,month,2011-06,M2_gbm_poisson,7.048483,27.634831,35,18.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16235,RECYCLED PENCIL WITH RABBIT ERASER,B,month,2011-06,M2_gbm_poisson,267.529132,132.447988,400,75.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16236,KITTY PENCIL ERASERS,C,month,2011-06,M2_gbm_poisson,155.956106,169.408317,326,7.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16237,SLEEPING CAT ERASERS,B,month,2011-06,M2_gbm_poisson,376.981174,511.401999,889,270.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16238,PARTY TIME PENCIL ERASERS,C,month,2011-06,M2_gbm_poisson,112.757504,57.568408,171,28.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,C,month,2011-06,M2_gbm_poisson,6.473796,3.711769,11,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,C,month,2011-06,M2_gbm_poisson,44.371916,44.709740,90,12.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
16259,PIECE OF CAMO STATIONERY SET,C,month,2011-06,M2_gbm_poisson,84.910778,232.650173,318,878.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,C,month,2011-06,M2_gbm_poisson,4.516709,73.513761,79,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17003,BROCADE RING PURSE,A,month,2011-06,M2_gbm_poisson,1659.866272,4892.966455,6553,2990.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,C,month,2011-06,M2_gbm_poisson,1.696451,7.484719,10,12.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,C,month,2011-06,M2_gbm_poisson,45.620845,23.664237,70,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,C,month,2011-06,M2_gbm_poisson,32.741746,54.358121,88,29.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,C,month,2011-06,M2_gbm_poisson,31.560970,52.108286,84,52.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,C,month,2011-06,M2_gbm_poisson,12.630691,20.017237,33,30.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,C,month,2011-06,M2_gbm_poisson,9.965861,16.567493,27,3.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,C,month,2011-06,M2_gbm_poisson,1.708857,9.401143,12,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,C,month,2011-06,M2_gbm_poisson,10.470933,18.262918,29,3.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17013D,ORIGAMI ROSE INCENSE IN TUBE,C,month,2011-06,M2_gbm_poisson,37.492999,134.505181,172,12.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17014A,ORIGAMI VANILLA INCENSE CONES,C,month,2011-06,M2_gbm_poisson,15.468046,22.654457,39,16.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17021,NAMASTE SWAGAT INCENSE,C,month,2011-06,M2_gbm_poisson,136.527538,81.729414,219,96.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17038,PORCELAIN BUDAH INCENSE HOLDER,C,month,2011-06,M2_gbm_poisson,38.986659,173.947373,213,203.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17084A,TRANQUILITY MASALA INCENSE,C,month,2011-06,M2_gbm_poisson,17.528395,62.374934,80,25.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17084J,LOVE POTION MASALA INCENSE,C,month,2011-06,M2_gbm_poisson,35.970284,50.374064,87,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17084N,FAIRY DREAMS INCENSE,C,month,2011-06,M2_gbm_poisson,95.311648,186.463187,282,87.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17084P,DRAGONS BLOOD INCENSE,C,month,2011-06,M2_gbm_poisson,14.022725,37.706331,52,51.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17084R,ASSORTED INCENSE PACK,B,month,2011-06,M2_gbm_poisson,271.027708,464.021061,736,72.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17090A,LAVENDER INCENSE 40 CONES IN TIN,C,month,2011-06,M2_gbm_poisson,6.618638,11.266341,18,6.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17090D,VANILLA INCENSE 40 CONES IN TIN,C,month,2011-06,M2_gbm_poisson,5.317025,5.736011,12,6.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17091A,LAVENDER INCENSE IN TIN,B,month,2011-06,M2_gbm_poisson,62.149723,103.421464,166,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17091J,VANILLA INCENSE IN TIN,B,month,2011-06,M2_gbm_poisson,76.795103,147.272699,225,235.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17096,ASSORTED LAQUERED INCENSE HOLDERS,B,month,2011-06,M2_gbm_poisson,122.088507,270.496982,393,1.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",C,month,2011-06,M2_gbm_poisson,20.484932,25.572025,47,15.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17109D,FLOWER FAIRY INCENSE BOUQUET,C,month,2011-06,M2_gbm_poisson,17.962401,91.476626,110,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17129F,BLUE GLASS GEMS IN BAG,B,month,2011-06,M2_gbm_poisson,45.153300,68.641813,114,97.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17136A,BLUE STONES ON WIRE FOR CANDLE,C,month,2011-06,M2_gbm_poisson,81.324918,98.397483,180,48.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,C,month,2011-06,M2_gbm_poisson,2.373718,69.409345,72,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17165D,ASS COL LARGE SAND FROG P'WEIGHT,C,month,2011-06,M2_gbm_poisson,2.375080,57.050360,60,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
17174,ASSTD RASTA KEY-CHAINS,C,month,2011-06,M2_gbm_poisson,2.051462,4.653584,7,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,C,month,2011-06,M2_gbm_poisson,173.693320,184.260442,358,25.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
18094C,WHITE AND BLUE CERAMIC OIL BURNER,C,month,2011-06,M2_gbm_poisson,46.333371,27.723910,75,9.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,C,month,2011-06,M2_gbm_poisson,2.583886,5.877327,9,2.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,A,month,2011-06,M2_gbm_poisson,89.863261,104.743863,195,13.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
18098C,PORCELAIN BUTTERFLY OIL BURNER,A,month,2011-06,M2_gbm_poisson,10.425609,35.845796,47,1.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20615,BLUE POLKADOT PASSPORT COVER,C,month,2011-06,M2_gbm_poisson,14.289286,34.769854,50,9.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20616,CHERRY BLOSSOM PASSPORT COVER,C,month,2011-06,M2_gbm_poisson,21.608853,19.047007,41,18.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20617,FIRST CLASS PASSPORT COVER,C,month,2011-06,M2_gbm_poisson,13.377483,36.842280,51,12.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20618,QUEEN OF THE SKIES PASSPORT COVER,C,month,2011-06,M2_gbm_poisson,24.307602,35.314687,60,32.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20619,TROPICAL PASSPORT COVER,C,month,2011-06,M2_gbm_poisson,37.521391,32.416888,70,26.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20622,VIPPASSPORT COVER,B,month,2011-06,M2_gbm_poisson,26.047265,55.895889,82,13.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20652,BLUE POLKADOT LUGGAGE TAG,C,month,2011-06,M2_gbm_poisson,29.139061,29.802419,59,8.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20653,CHERRY BLOSSOM LUGGAGE TAG,C,month,2011-06,M2_gbm_poisson,11.519558,21.629385,34,14.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20654,FIRST CLASS LUGGAGE TAG,C,month,2011-06,M2_gbm_poisson,20.244870,34.879430,56,20.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20655,QUEEN OF SKIES LUGGAGE TAG,C,month,2011-06,M2_gbm_poisson,23.166672,38.570661,62,32.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20657,TROPICAL LUGGAGE TAG,C,month,2011-06,M2_gbm_poisson,8.526807,22.682976,32,16.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20658,RED SPOTTY LUGGAGE TAG,B,month,2011-06,M2_gbm_poisson,44.801849,55.415551,101,63.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20659,ECONOMY LUGGAGE TAG,C,month,2011-06,M2_gbm_poisson,10.483339,36.191104,47,19.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20661,BLUE SPOTTY PURSE,C,month,2011-06,M2_gbm_poisson,1.665141,48.085764,50,6.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20662,FIRST CLASS HOLIDAY PURSE,C,month,2011-06,M2_gbm_poisson,4.641697,23.297163,28,2.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20663,QUEEN OF THE SKIES HOLIDAY PURSE,C,month,2011-06,M2_gbm_poisson,5.883591,27.664467,34,1.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20664,TROPICAL HOLIDAY PURSE,C,month,2011-06,M2_gbm_poisson,1.659317,9.589094,12,6.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20665,RED RETROSPOT PURSE,A,month,2011-06,M2_gbm_poisson,61.848259,38.801001,101,57.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20666,ECONOMY HOLIDAY PURSE,C,month,2011-06,M2_gbm_poisson,2.822543,6.104328,9,5.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20667,CHERRY BLOSSOM PURSE,C,month,2011-06,M2_gbm_poisson,3.886502,2.511810,7,9.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20668,DISCO BALL CHRISTMAS DECORATION,B,month,2011-06,M2_gbm_poisson,216.998116,1698.900665,1916,467.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20669,RED HEART LUGGAGE TAG,C,month,2011-06,M2_gbm_poisson,12.871701,34.682063,48,17.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20670,VIP HOLIDAY PURSE,C,month,2011-06,M2_gbm_poisson,3.683270,28.015653,32,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20671,BLUE TEATIME PRINT BOWL,B,month,2011-06,M2_gbm_poisson,1.692617,30.463588,33,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20674,GREEN POLKADOT BOWL,A,month,2011-06,M2_gbm_poisson,151.960928,162.692066,315,110.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20675,BLUE POLKADOT BOWL,A,month,2011-06,M2_gbm_poisson,321.545352,234.952194,557,159.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20676,RED RETROSPOT BOWL,A,month,2011-06,M2_gbm_poisson,363.416187,271.698281,636,512.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20677,PINK POLKADOT BOWL,A,month,2011-06,M2_gbm_poisson,254.049660,188.819415,443,289.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20679,EDWARDIAN PARASOL RED,A,month,2011-06,M2_gbm_poisson,134.623160,140.379540,276,47.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20681,PINK SPOTTY CHILDS UMBRELLA,A,month,2011-06,M2_gbm_poisson,6.863875,53.499674,61,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20682,RED RETROSPOT CHILDRENS UMBRELLA,A,month,2011-06,M2_gbm_poisson,58.515295,136.299347,195,56.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20684,STRAWBERRY DREAM CHILDS UMBRELLA,B,month,2011-06,M2_gbm_poisson,13.475767,38.637717,53,7.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20685,DOORMAT RED RETROSPOT,A,month,2011-06,M2_gbm_poisson,472.396237,152.893831,626,704.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,B,month,2011-06,M2_gbm_poisson,12.926031,23.681464,37,22.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20694,FLORAL PINK MONSTER,C,month,2011-06,M2_gbm_poisson,7.951138,15.306155,24,1.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20695,FLORAL BLUE MONSTER,C,month,2011-06,M2_gbm_poisson,2.416398,11.362121,14,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20696,FLORAL SOFT CAR TOY,C,month,2011-06,M2_gbm_poisson,3.342122,12.443899,16,1.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20697,LITTLE GREEN MONSTER SOFT TOY,C,month,2011-06,M2_gbm_poisson,3.841967,2.806790,7,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20698,LITTLE PINK MONSTER SOFT TOY,C,month,2011-06,M2_gbm_poisson,3.841967,5.184063,10,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20699,MOUSEY LONG LEGS SOFT TOY,C,month,2011-06,M2_gbm_poisson,6.577356,48.650526,56,2.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20700,GREEN CAT FLORAL CUSHION COVER,B,month,2011-06,M2_gbm_poisson,13.909581,7.191763,22,13.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20701,PINK CAT FLORAL CUSHION COVER,C,month,2011-06,M2_gbm_poisson,10.473857,4.865248,16,14.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20702,PINK PADDED MOBILE,B,month,2011-06,M2_gbm_poisson,25.924237,46.674977,73,19.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20703,BLUE PADDED SOFT MOBILE,B,month,2011-06,M2_gbm_poisson,2.741110,35.238141,38,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20704,MR ROBOT SOFT TOY,B,month,2011-06,M2_gbm_poisson,7.224663,9.919316,18,1.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20705,MRS ROBOT SOFT TOY,C,month,2011-06,M2_gbm_poisson,7.364235,9.154237,17,2.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20707,CRAZY DAISY HEART DECORATION,B,month,2011-06,M2_gbm_poisson,66.554391,34.175580,101,71.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
20711,JUMBO BAG TOYS,A,month,2011-06,M2_gbm_poisson,669.401840,584.740099,1255,270.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
