stock_code,description,forecast_origin,target_month,model,prediction,lag_1,rolling_mean_3,abc_class,is_active,status
17084J,LOVE POTION MASALA INCENSE,2011-11,2011-12,M2_gbm_poisson,7.002211,0,8.333333,C,True,Forecast
17084N,FAIRY DREAMS INCENSE,2011-11,2011-12,M2_gbm_poisson,73.773067,162,163.333333,C,True,Forecast
17084P,DRAGONS BLOOD INCENSE,2011-11,2011-12,M2_gbm_poisson,43.099206,38,39.666667,C,True,Forecast
17084R,ASSORTED INCENSE PACK,2011-11,2011-12,M2_gbm_poisson,115.624991,216,312.000000,B,True,Forecast
17090A,LAVENDER INCENSE 40 CONES IN TIN,2011-11,2011-12,M2_gbm_poisson,14.228333,9,5.000000,C,True,Forecast
17090D,VANILLA INCENSE 40 CONES IN TIN,2011-11,2011-12,M2_gbm_poisson,2.006944,0,0.000000,C,True,Forecast
17091J,VANILLA INCENSE IN TIN,2011-11,2011-12,M2_gbm_poisson,86.786149,182,153.333333,B,True,Forecast
17096,ASSORTED LAQUERED INCENSE HOLDERS,2011-11,2011-12,M2_gbm_poisson,2.186764,0,0.000000,B,True,Forecast
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2011-11,2011-12,M2_gbm_poisson,33.305903,15,18.666667,C,True,Forecast
17129F,BLUE GLASS GEMS IN BAG,2011-11,2011-12,M2_gbm_poisson,23.060381,1,17.666667,B,True,Forecast
17136A,BLUE STONES ON WIRE FOR CANDLE,2011-11,2011-12,M2_gbm_poisson,60.465828,96,63.666667,C,True,Forecast
17174,ASSTD RASTA KEY-CHAINS,2011-11,2011-12,M2_gbm_poisson,13.377388,8,2.666667,C,True,Forecast
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,2011-11,2011-12,M2_gbm_poisson,5.588407,2,0.666667,C,True,Forecast
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2011-11,2011-12,M2_gbm_poisson,2.976703,0,0.000000,C,True,Forecast
18094C,WHITE AND BLUE CERAMIC OIL BURNER,2011-11,2011-12,M2_gbm_poisson,8.138275,0,8.333333,C,True,Forecast
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2011-11,2011-12,M2_gbm_poisson,1.989265,0,0.000000,C,True,Forecast
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2011-11,2011-12,M2_gbm_poisson,33.939281,26,14.666667,A,True,Forecast
18098C,PORCELAIN BUTTERFLY OIL BURNER,2011-11,2011-12,M2_gbm_poisson,2.958352,0,0.000000,A,True,Forecast
20615,BLUE POLKADOT PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,53.046891,75,35.000000,C,True,Forecast
20616,CHERRY BLOSSOM PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,30.280835,25,11.333333,C,True,Forecast
20617,FIRST CLASS PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,15.719489,12,6.000000,C,True,Forecast
20618,QUEEN OF THE SKIES PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,17.065464,10,5.333333,C,True,Forecast
20619,TROPICAL PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,15.218347,8,5.333333,C,True,Forecast
20622,VIPPASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,19.695282,17,7.000000,B,True,Forecast
20652,BLUE POLKADOT LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,46.150356,47,22.000000,C,True,Forecast
20653,CHERRY BLOSSOM LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,17.506933,14,5.000000,C,True,Forecast
20654,FIRST CLASS LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,30.499800,23,9.333333,C,True,Forecast
20655,QUEEN OF SKIES LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,17.628763,10,7.666667,C,True,Forecast
20657,TROPICAL LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,15.249272,9,5.333333,C,True,Forecast
20658,RED SPOTTY LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,5.683215,0,2.666667,B,True,Forecast
20659,ECONOMY LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,31.440757,21,13.666667,C,True,Forecast
20661,BLUE SPOTTY PURSE,2011-11,2011-12,M2_gbm_poisson,12.156765,5,4.333333,C,True,Forecast
20662,FIRST CLASS HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,3.491593,0,1.000000,C,True,Forecast
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,3.491593,0,0.333333,C,True,Forecast
20664,TROPICAL HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,3.135932,0,0.000000,C,True,Forecast
20665,RED RETROSPOT PURSE,2011-11,2011-12,M2_gbm_poisson,20.591996,5,19.000000,A,True,Forecast
20666,ECONOMY HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,2.006944,0,0.000000,C,True,Forecast
20667,CHERRY BLOSSOM PURSE,2011-11,2011-12,M2_gbm_poisson,3.130582,0,0.000000,C,True,Forecast
20668,DISCO BALL CHRISTMAS DECORATION,2011-11,2011-12,M2_gbm_poisson,1640.395962,4329,2338.000000,B,True,Forecast
20669,RED HEART LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,41.594775,28,26.666667,C,True,Forecast
20670,VIP HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,4.205931,2,1.333333,C,True,Forecast
20674,GREEN POLKADOT BOWL,2011-11,2011-12,M2_gbm_poisson,70.381817,107,129.000000,A,True,Forecast
20675,BLUE POLKADOT BOWL,2011-11,2011-12,M2_gbm_poisson,121.292327,173,209.666667,A,True,Forecast
20676,RED RETROSPOT BOWL,2011-11,2011-12,M2_gbm_poisson,229.347026,454,296.000000,A,True,Forecast
20677,PINK POLKADOT BOWL,2011-11,2011-12,M2_gbm_poisson,139.129135,209,210.000000,A,True,Forecast
20678,LARGE BLACK DIAMANTE HAIRSLIDE,2011-11,2011-12,M2_gbm_poisson,30.958231,0,1.333333,C,True,Forecast
20679,EDWARDIAN PARASOL RED,2011-11,2011-12,M2_gbm_poisson,101.617488,162,189.000000,A,True,Forecast
20682,RED RETROSPOT CHILDRENS UMBRELLA,2011-11,2011-12,M2_gbm_poisson,85.063496,124,147.000000,A,True,Forecast
20684,STRAWBERRY DREAM CHILDS UMBRELLA,2011-11,2011-12,M2_gbm_poisson,2.064227,0,0.000000,B,True,Forecast
20685,DOORMAT RED RETROSPOT,2011-11,2011-12,M2_gbm_poisson,223.354020,339,241.000000,A,True,Forecast
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,2011-11,2011-12,M2_gbm_poisson,49.115823,62,40.000000,B,True,Forecast
20694,FLORAL PINK MONSTER,2011-11,2011-12,M2_gbm_poisson,9.516632,1,4.333333,C,True,Forecast
20695,FLORAL BLUE MONSTER,2011-11,2011-12,M2_gbm_poisson,4.826633,1,1.000000,C,True,Forecast
20696,FLORAL SOFT CAR TOY,2011-11,2011-12,M2_gbm_poisson,11.495389,3,6.000000,C,True,Forecast
20697,LITTLE GREEN MONSTER SOFT TOY,2011-11,2011-12,M2_gbm_poisson,8.952681,4,3.000000,C,True,Forecast
20698,LITTLE PINK MONSTER SOFT TOY,2011-11,2011-12,M2_gbm_poisson,11.725992,6,3.666667,C,True,Forecast
20699,MOUSEY LONG LEGS SOFT TOY,2011-11,2011-12,M2_gbm_poisson,5.112400,3,1.000000,C,True,Forecast
20700,GREEN CAT FLORAL CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,6.526302,0,6.333333,B,True,Forecast
20701,PINK CAT FLORAL CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,2.100929,0,0.000000,C,True,Forecast
20702,PINK PADDED MOBILE,2011-11,2011-12,M2_gbm_poisson,5.274137,0,2.000000,B,True,Forecast
20704,MR ROBOT SOFT TOY,2011-11,2011-12,M2_gbm_poisson,11.009346,3,6.666667,B,True,Forecast
20705,MRS ROBOT SOFT TOY,2011-11,2011-12,M2_gbm_poisson,6.883450,1,3.000000,C,True,Forecast
20707,CRAZY DAISY HEART DECORATION,2011-11,2011-12,M2_gbm_poisson,29.642537,16,12.333333,B,True,Forecast
20711,JUMBO BAG TOYS,2011-11,2011-12,M2_gbm_poisson,189.445820,391,362.000000,A,True,Forecast
20712,JUMBO BAG WOODLAND ANIMALS,2011-11,2011-12,M2_gbm_poisson,460.187170,772,1055.666667,A,True,Forecast
20713,JUMBO BAG OWLS,2011-11,2011-12,M2_gbm_poisson,525.802126,689,1196.333333,A,True,Forecast
20716,PARTY FOOD SHOPPER BAG,2011-11,2011-12,M2_gbm_poisson,2.006944,0,0.000000,B,True,Forecast
20717,STRAWBERRY SHOPPER BAG,2011-11,2011-12,M2_gbm_poisson,111.728731,234,143.333333,A,True,Forecast
20718,RED RETROSPOT SHOPPER BAG,2011-11,2011-12,M2_gbm_poisson,248.520814,505,348.333333,A,True,Forecast
20719,WOODLAND CHARLOTTE BAG,2011-11,2011-12,M2_gbm_poisson,536.866669,1018,1020.333333,A,True,Forecast
20723,STRAWBERRY CHARLOTTE BAG,2011-11,2011-12,M2_gbm_poisson,417.669863,935,914.000000,A,True,Forecast
20724,RED RETROSPOT CHARLOTTE BAG,2011-11,2011-12,M2_gbm_poisson,969.296519,2209,1887.333333,A,True,Forecast
20725,LUNCH BAG RED RETROSPOT,2011-11,2011-12,M2_gbm_poisson,1013.822299,1992,1685.666667,A,True,Forecast
20726,LUNCH BAG WOODLAND,2011-11,2011-12,M2_gbm_poisson,391.505214,697,694.666667,A,True,Forecast
20727,LUNCH BAG  BLACK SKULL.,2011-11,2011-12,M2_gbm_poisson,854.205813,1207,1195.000000,A,True,Forecast
20728,LUNCH BAG CARS BLUE,2011-11,2011-12,M2_gbm_poisson,566.963756,935,938.000000,A,True,Forecast
20731,POSY CANDY BAG,2011-11,2011-12,M2_gbm_poisson,2.006944,0,0.000000,B,True,Forecast
20733,GOLD MINI TAPE MEASURE,2011-11,2011-12,M2_gbm_poisson,54.143378,63,50.666667,B,True,Forecast
20735,BLACK MINI TAPE MEASURE,2011-11,2011-12,M2_gbm_poisson,15.022596,6,5.666667,B,True,Forecast
20748,KENSINGTON COFFEE SET,2011-11,2011-12,M2_gbm_poisson,16.476304,14,7.666667,A,True,Forecast
20749,ASSORTED COLOUR MINI CASES,2011-11,2011-12,M2_gbm_poisson,120.589566,281,187.000000,A,True,Forecast
20750,RED RETROSPOT MINI CASES,2011-11,2011-12,M2_gbm_poisson,110.822782,212,158.666667,A,True,Forecast
20751,FUNKY WASHING UP GLOVES ASSORTED,2011-11,2011-12,M2_gbm_poisson,58.161519,50,56.666667,A,True,Forecast
20752,BLUE POLKADOT WASHING UP GLOVES,2011-11,2011-12,M2_gbm_poisson,41.594775,25,25.000000,B,True,Forecast
20754,RETROSPOT RED WASHING UP GLOVES,2011-11,2011-12,M2_gbm_poisson,55.664898,43,66.333333,A,True,Forecast
20755,BLUE PAISLEY POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,54.671169,87,48.666667,B,True,Forecast
20756,GREEN FERN POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,23.419757,13,10.000000,C,True,Forecast
20757,RED DAISY POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,48.015438,60,24.333333,C,True,Forecast
20758,ABSTRACT CIRCLES POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,40.461781,37,20.000000,C,True,Forecast
20759,CHRYSANTHEMUM POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,30.953891,26,11.666667,C,True,Forecast
20760,GARDEN PATH POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,27.203220,18,13.333333,B,True,Forecast
20761,BLUE PAISLEY SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,20.289375,14,14.000000,B,True,Forecast
20762,GREEN FERN SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,11.801902,8,7.333333,B,True,Forecast
20763,DAISY SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,30.914835,24,10.333333,C,True,Forecast
20764,ABSTRACT CIRCLES SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,34.514227,26,16.000000,B,True,Forecast
20765,CHRYSANTHEMUM SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,19.806418,12,9.000000,B,True,Forecast
20766,GARDEN PATH SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,21.623009,14,11.333333,B,True,Forecast
20767,BLUE PAISLEY JOURNAL,2011-11,2011-12,M2_gbm_poisson,40.860409,23,18.333333,B,True,Forecast
20768,GREEN FERN JOURNAL,2011-11,2011-12,M2_gbm_poisson,43.749784,42,19.666667,B,True,Forecast
20769,DAISY JOURNAL,2011-11,2011-12,M2_gbm_poisson,22.084493,14,10.666667,C,True,Forecast
20770,ABSTRACT CIRCLE JOURNAL,2011-11,2011-12,M2_gbm_poisson,7.562185,2,2.000000,B,True,Forecast
20771,CHRYSANTHEMUM  JOURNAL,2011-11,2011-12,M2_gbm_poisson,30.150937,22,13.000000,B,True,Forecast
20772,GARDEN PATH JOURNAL,2011-11,2011-12,M2_gbm_poisson,59.184786,105,46.333333,B,True,Forecast
20773,BLUE PAISLEY NOTEBOOK,2011-11,2011-12,M2_gbm_poisson,3.699370,0,0.666667,B,True,Forecast
20774,GREEN FERN NOTEBOOK,2011-11,2011-12,M2_gbm_poisson,14.062327,0,14.666667,C,True,Forecast
20775,DAISY NOTEBOOK,2011-11,2011-12,M2_gbm_poisson,45.927104,48,29.333333,C,True,Forecast
20777,CHRYSANTHEMUM NOTEBOOK,2011-11,2011-12,M2_gbm_poisson,51.211795,56,35.666667,B,True,Forecast
20780,BLACK EAR MUFF HEADPHONES,2011-11,2011-12,M2_gbm_poisson,13.584011,10,3.666667,B,True,Forecast
20781,GOLD EAR MUFF HEADPHONES,2011-11,2011-12,M2_gbm_poisson,15.231526,10,4.000000,C,True,Forecast
20782,CAMOUFLAGE EAR MUFF HEADPHONES,2011-11,2011-12,M2_gbm_poisson,11.944800,6,3.666667,C,True,Forecast
20793,BLUE TILED TRAY,2011-11,2011-12,M2_gbm_poisson,2.443777,0,0.333333,C,True,Forecast
20794,BLUE  TILE HOOK,2011-11,2011-12,M2_gbm_poisson,12.460313,5,4.333333,C,True,Forecast
20795,LARGE BLUE PROVENCAL CERAMIC BALL,2011-11,2011-12,M2_gbm_poisson,12.798100,5,5.666667,C,True,Forecast
20796,SMALL BLUE PROVENCAL CERAMIC BALL,2011-11,2011-12,M2_gbm_poisson,11.408180,4,5.000000,C,True,Forecast
20802,SMALL GLASS SUNDAE DISH CLEAR,2011-11,2011-12,M2_gbm_poisson,37.810445,30,25.333333,B,True,Forecast
20819,SILVER TEDDY BEAR,2011-11,2011-12,M2_gbm_poisson,31.150269,25,11.666667,C,True,Forecast
20821,GOLDIE LOOKING MIRROR,2011-11,2011-12,M2_gbm_poisson,4.366355,2,0.666667,C,True,Forecast
20823,GOLD WINE GOBLET,2011-11,2011-12,M2_gbm_poisson,1.984807,0,0.000000,C,True,Forecast
20828,GLITTER BUTTERFLY CLIPS,2011-11,2011-12,M2_gbm_poisson,74.653226,124,90.666667,A,True,Forecast
20829,GLITTER HANGING BUTTERFLY STRING,2011-11,2011-12,M2_gbm_poisson,86.207122,153,103.333333,A,True,Forecast
20830,SILVER PHOTO FRAME,2011-11,2011-12,M2_gbm_poisson,5.180841,0,2.000000,B,True,Forecast
20831,GOLD PHOTO FRAME,2011-11,2011-12,M2_gbm_poisson,18.867378,12,9.666667,C,True,Forecast
20832,RED FLOCK LOVE HEART PHOTO FRAME,2011-11,2011-12,M2_gbm_poisson,64.815383,103,122.000000,C,True,Forecast
20835,FRENCH LATTICE CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,16.577963,12,8.000000,C,True,Forecast
20836,FRENCH PAISLEY CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,42.638378,42,30.000000,C,True,Forecast
20837,FRENCH FLORAL CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,41.498338,39,19.000000,C,True,Forecast
20838,FRENCH LATTICE CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,46.593123,34,51.000000,C,True,Forecast
20839,FRENCH PAISLEY CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,66.484138,92,95.666667,C,True,Forecast
20840,FRENCH FLORAL CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,40.369243,30,34.000000,B,True,Forecast
20845,ZINC HEART LATTICE 2 WALL PLANTER,2011-11,2011-12,M2_gbm_poisson,2.443777,0,0.000000,C,True,Forecast
20846,ZINC HEART LATTICE T-LIGHT HOLDER,2011-11,2011-12,M2_gbm_poisson,58.784322,90,51.666667,B,True,Forecast
20847,ZINC HEART LATTICE CHARGER LARGE,2011-11,2011-12,M2_gbm_poisson,8.205221,1,2.333333,C,True,Forecast
20848,ZINC HEART LATTICE CHARGER SMALL,2011-11,2011-12,M2_gbm_poisson,5.028478,3,1.666667,C,True,Forecast
20856,DENIM PATCH PURSE PINK BUTTERFLY,2011-11,2011-12,M2_gbm_poisson,3.135932,0,0.000000,C,True,Forecast
20866,BLUE ROSE FABRIC MIRROR,2011-11,2011-12,M2_gbm_poisson,54.510308,45,77.000000,B,True,Forecast
20867,PINK ROSE FABRIC MIRROR,2011-11,2011-12,M2_gbm_poisson,30.909095,24,11.000000,B,True,Forecast
20868,SILVER FABRIC MIRROR,2011-11,2011-12,M2_gbm_poisson,94.507721,279,109.000000,C,True,Forecast
20869,GOLD FABRIC MIRROR,2011-11,2011-12,M2_gbm_poisson,53.582599,80,42.000000,C,True,Forecast
20886,BOX OF 9 PEBBLE CANDLES,2011-11,2011-12,M2_gbm_poisson,18.611674,5,13.333333,A,True,Forecast
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2011-11,2011-12,M2_gbm_poisson,20.046830,8,11.666667,B,True,Forecast
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,2011-11,2011-12,M2_gbm_poisson,16.091156,13,8.000000,C,True,Forecast
20897,VINTAGE NOTEBOOK PARIS DAYS,2011-11,2011-12,M2_gbm_poisson,2.955490,0,0.000000,C,True,Forecast
20898,VINTAGE NOTEBOOK TRAVELOGUE,2011-11,2011-12,M2_gbm_poisson,4.823546,0,1.666667,C,True,Forecast
