stock_code,quarter,model,forecast_sum,actual_sum,n_months,complete,months_included,estimate_type
15039,2010-Q2,M2_gbm_poisson,105.454842,401.000000,1,False,2010-06,
15044A,2010-Q2,B2_ma3,165.666667,3686.000000,1,False,2010-06,
15044A,2010-Q2,M2_gbm_poisson,91.290431,3686.000000,1,False,2010-06,
15044B,2010-Q2,B2_ma3,117.000000,720.000000,1,False,2010-06,
15044B,2010-Q2,M2_gbm_poisson,91.071901,720.000000,1,False,2010-06,
15044C,2010-Q2,B2_ma3,79.333333,126.000000,1,False,2010-06,
15044C,2010-Q2,M2_gbm_poisson,78.909626,126.000000,1,False,2010-06,
15044D,2010-Q2,B2_ma3,110.333333,170.000000,1,False,2010-06,
15044D,2010-Q2,M2_gbm_poisson,92.413964,170.000000,1,False,2010-06,
15056BL,2010-Q2,B2_ma3,158.666667,207.000000,1,False,2010-06,
15056BL,2010-Q2,M2_gbm_poisson,107.680815,207.000000,1,False,2010-06,
15056N,2010-Q2,B2_ma3,484.333333,664.000000,1,False,2010-06,
15056N,2010-Q2,M2_gbm_poisson,368.675605,664.000000,1,False,2010-06,
15056P,2010-Q2,B2_ma3,58.666667,116.000000,1,False,2010-06,
15056P,2010-Q2,M2_gbm_poisson,109.416897,116.000000,1,False,2010-06,
15058A,2010-Q2,B2_ma3,57.333333,79.000000,1,False,2010-06,
15058A,2010-Q2,M2_gbm_poisson,71.242873,79.000000,1,False,2010-06,
15058B,2010-Q2,B2_ma3,47.666667,41.000000,1,False,2010-06,
15058B,2010-Q2,M2_gbm_poisson,61.491007,41.000000,1,False,2010-06,
15058C,2010-Q2,B2_ma3,27.333333,95.000000,1,False,2010-06,
15058C,2010-Q2,M2_gbm_poisson,39.084220,95.000000,1,False,2010-06,
15059A,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
15059A,2010-Q2,M2_gbm_poisson,3.008154,0.000000,1,False,2010-06,
15060B,2010-Q2,B2_ma3,87.000000,44.000000,1,False,2010-06,
15060B,2010-Q2,M2_gbm_poisson,67.299646,44.000000,1,False,2010-06,
16008,2010-Q2,B2_ma3,12.000000,0.000000,1,False,2010-06,
16008,2010-Q2,M2_gbm_poisson,26.993167,0.000000,1,False,2010-06,
16010,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16010,2010-Q2,M2_gbm_poisson,2.964016,0.000000,1,False,2010-06,
16011,2010-Q2,B2_ma3,141.000000,192.000000,1,False,2010-06,
16011,2010-Q2,M2_gbm_poisson,165.504318,192.000000,1,False,2010-06,
16012,2010-Q2,B2_ma3,32.000000,24.000000,1,False,2010-06,
16012,2010-Q2,M2_gbm_poisson,49.870847,24.000000,1,False,2010-06,
16014,2010-Q2,B2_ma3,376.666667,4005.000000,1,False,2010-06,
16014,2010-Q2,M2_gbm_poisson,14.547131,4005.000000,1,False,2010-06,
16015,2010-Q2,B2_ma3,40.666667,120.000000,1,False,2010-06,
16015,2010-Q2,M2_gbm_poisson,28.020695,120.000000,1,False,2010-06,
16016,2010-Q2,B2_ma3,115.333333,60.000000,1,False,2010-06,
16016,2010-Q2,M2_gbm_poisson,41.603949,60.000000,1,False,2010-06,
16020C,2010-Q2,B2_ma3,6.666667,4.000000,1,False,2010-06,
16020C,2010-Q2,M2_gbm_poisson,14.776286,4.000000,1,False,2010-06,
16033,2010-Q2,B2_ma3,2200.000000,720.000000,1,False,2010-06,
16033,2010-Q2,M2_gbm_poisson,722.843215,720.000000,1,False,2010-06,
16043,2010-Q2,B2_ma3,17.000000,50.000000,1,False,2010-06,
16043,2010-Q2,M2_gbm_poisson,25.850620,50.000000,1,False,2010-06,
16044,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16044,2010-Q2,M2_gbm_poisson,2.328691,0.000000,1,False,2010-06,
16045,2010-Q2,B2_ma3,70.000000,0.000000,1,False,2010-06,
16045,2010-Q2,M2_gbm_poisson,77.269701,0.000000,1,False,2010-06,
16046,2010-Q2,B2_ma3,38.333333,13.000000,1,False,2010-06,
16046,2010-Q2,M2_gbm_poisson,23.203945,13.000000,1,False,2010-06,
16047,2010-Q2,B2_ma3,12.333333,0.000000,1,False,2010-06,
16047,2010-Q2,M2_gbm_poisson,25.124139,0.000000,1,False,2010-06,
16048,2010-Q2,B2_ma3,115.666667,26.000000,1,False,2010-06,
16048,2010-Q2,M2_gbm_poisson,138.910060,26.000000,1,False,2010-06,
16049,2010-Q2,B2_ma3,256.666667,0.000000,1,False,2010-06,
16049,2010-Q2,M2_gbm_poisson,210.298861,0.000000,1,False,2010-06,
16050,2010-Q2,B2_ma3,44.000000,0.000000,1,False,2010-06,
16050,2010-Q2,M2_gbm_poisson,14.390284,0.000000,1,False,2010-06,
16051,2010-Q2,B2_ma3,0.000000,36.000000,1,False,2010-06,
16051,2010-Q2,M2_gbm_poisson,4.691005,36.000000,1,False,2010-06,
16052,2010-Q2,B2_ma3,10.333333,120.000000,1,False,2010-06,
16052,2010-Q2,M2_gbm_poisson,82.387596,120.000000,1,False,2010-06,
16053,2010-Q2,B2_ma3,36.666667,50.000000,1,False,2010-06,
16053,2010-Q2,M2_gbm_poisson,48.326187,50.000000,1,False,2010-06,
16054,2010-Q2,B2_ma3,1.333333,0.000000,1,False,2010-06,
16054,2010-Q2,M2_gbm_poisson,3.846826,0.000000,1,False,2010-06,
16119,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16119,2010-Q2,M2_gbm_poisson,3.084027,0.000000,1,False,2010-06,
16151A,2010-Q2,B2_ma3,1.000000,0.000000,1,False,2010-06,
16151A,2010-Q2,M2_gbm_poisson,7.406844,0.000000,1,False,2010-06,
16156L,2010-Q2,B2_ma3,41.666667,50.000000,1,False,2010-06,
16156L,2010-Q2,M2_gbm_poisson,20.144702,50.000000,1,False,2010-06,
16156N,2010-Q2,B2_ma3,216.666667,25.000000,1,False,2010-06,
16156N,2010-Q2,M2_gbm_poisson,86.564655,25.000000,1,False,2010-06,
16156S,2010-Q2,B2_ma3,850.000000,950.000000,1,False,2010-06,
16156S,2010-Q2,M2_gbm_poisson,913.539177,950.000000,1,False,2010-06,
16161C,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16161C,2010-Q2,M2_gbm_poisson,4.691005,0.000000,1,False,2010-06,
16161E,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16161E,2010-Q2,M2_gbm_poisson,4.630168,0.000000,1,False,2010-06,
16161G,2010-Q2,B2_ma3,41.666667,0.000000,1,False,2010-06,
16161G,2010-Q2,M2_gbm_poisson,52.304161,0.000000,1,False,2010-06,
16161M,2010-Q2,B2_ma3,91.666667,25.000000,1,False,2010-06,
16161M,2010-Q2,M2_gbm_poisson,32.106689,25.000000,1,False,2010-06,
16161P,2010-Q2,B2_ma3,232.333333,1025.000000,1,False,2010-06,
16161P,2010-Q2,M2_gbm_poisson,169.982080,1025.000000,1,False,2010-06,
16161U,2010-Q2,B2_ma3,433.333333,500.000000,1,False,2010-06,
16161U,2010-Q2,M2_gbm_poisson,267.856741,500.000000,1,False,2010-06,
16162L,2010-Q2,B2_ma3,37.333333,14.000000,1,False,2010-06,
16162L,2010-Q2,M2_gbm_poisson,49.689113,14.000000,1,False,2010-06,
16168M,2010-Q2,B2_ma3,111.666667,78.000000,1,False,2010-06,
16168M,2010-Q2,M2_gbm_poisson,75.930503,78.000000,1,False,2010-06,
16168S,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16168S,2010-Q2,M2_gbm_poisson,4.691005,0.000000,1,False,2010-06,
16169A,2010-Q2,B2_ma3,8.333333,0.000000,1,False,2010-06,
16169A,2010-Q2,M2_gbm_poisson,101.440207,0.000000,1,False,2010-06,
16169C,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16169C,2010-Q2,M2_gbm_poisson,2.850399,0.000000,1,False,2010-06,
16169D,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16169D,2010-Q2,M2_gbm_poisson,2.831352,0.000000,1,False,2010-06,
16169F,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16169F,2010-Q2,M2_gbm_poisson,3.084533,0.000000,1,False,2010-06,
16169G,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16169G,2010-Q2,M2_gbm_poisson,2.885037,0.000000,1,False,2010-06,
16169K,2010-Q2,B2_ma3,75.000000,50.000000,1,False,2010-06,
16169K,2010-Q2,M2_gbm_poisson,45.524384,50.000000,1,False,2010-06,
16169M,2010-Q2,B2_ma3,58.333333,25.000000,1,False,2010-06,
16169M,2010-Q2,M2_gbm_poisson,22.018841,25.000000,1,False,2010-06,
16169N,2010-Q2,B2_ma3,91.666667,100.000000,1,False,2010-06,
16169N,2010-Q2,M2_gbm_poisson,56.788138,100.000000,1,False,2010-06,
16169P,2010-Q2,B2_ma3,116.666667,75.000000,1,False,2010-06,
16169P,2010-Q2,M2_gbm_poisson,62.645122,75.000000,1,False,2010-06,
16192,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16192,2010-Q2,M2_gbm_poisson,2.489592,0.000000,1,False,2010-06,
16201A,2010-Q2,B2_ma3,16.333333,0.000000,1,False,2010-06,
16201A,2010-Q2,M2_gbm_poisson,9.921720,0.000000,1,False,2010-06,
16201B,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16201B,2010-Q2,M2_gbm_poisson,2.130363,0.000000,1,False,2010-06,
16202A,2010-Q2,B2_ma3,5.333333,24.000000,1,False,2010-06,
16202A,2010-Q2,M2_gbm_poisson,9.048942,24.000000,1,False,2010-06,
16202B,2010-Q2,B2_ma3,23.333333,24.000000,1,False,2010-06,
16202B,2010-Q2,M2_gbm_poisson,26.686929,24.000000,1,False,2010-06,
16202C,2010-Q2,B2_ma3,18.333333,0.000000,1,False,2010-06,
16202C,2010-Q2,M2_gbm_poisson,14.017276,0.000000,1,False,2010-06,
16202E,2010-Q2,B2_ma3,12.333333,0.000000,1,False,2010-06,
16202E,2010-Q2,M2_gbm_poisson,21.645821,0.000000,1,False,2010-06,
16206B,2010-Q2,B2_ma3,3.333333,0.000000,1,False,2010-06,
16206B,2010-Q2,M2_gbm_poisson,16.225065,0.000000,1,False,2010-06,
16207A,2010-Q2,B2_ma3,4.666667,21.000000,1,False,2010-06,
16207A,2010-Q2,M2_gbm_poisson,15.866444,21.000000,1,False,2010-06,
16207B,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16207B,2010-Q2,M2_gbm_poisson,2.970549,0.000000,1,False,2010-06,
16212,2010-Q2,B2_ma3,52.666667,6.000000,1,False,2010-06,
16212,2010-Q2,M2_gbm_poisson,63.356414,6.000000,1,False,2010-06,
16215,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16215,2010-Q2,M2_gbm_poisson,2.059577,0.000000,1,False,2010-06,
16216,2010-Q2,B2_ma3,113.000000,31.000000,1,False,2010-06,
16216,2010-Q2,M2_gbm_poisson,127.069110,31.000000,1,False,2010-06,
16218,2010-Q2,B2_ma3,6.000000,54.000000,1,False,2010-06,
16218,2010-Q2,M2_gbm_poisson,26.665966,54.000000,1,False,2010-06,
16219,2010-Q2,B2_ma3,27.666667,46.000000,1,False,2010-06,
16219,2010-Q2,M2_gbm_poisson,197.506727,46.000000,1,False,2010-06,
16225,2010-Q2,B2_ma3,18.333333,17.000000,1,False,2010-06,
16225,2010-Q2,M2_gbm_poisson,29.944259,17.000000,1,False,2010-06,
16235,2010-Q2,B2_ma3,285.666667,203.000000,1,False,2010-06,
16235,2010-Q2,M2_gbm_poisson,387.415997,203.000000,1,False,2010-06,
16236,2010-Q2,B2_ma3,116.333333,66.000000,1,False,2010-06,
16236,2010-Q2,M2_gbm_poisson,135.673605,66.000000,1,False,2010-06,
16237,2010-Q2,B2_ma3,344.333333,361.000000,1,False,2010-06,
16237,2010-Q2,M2_gbm_poisson,406.289184,361.000000,1,False,2010-06,
16238,2010-Q2,B2_ma3,71.666667,126.000000,1,False,2010-06,
16238,2010-Q2,M2_gbm_poisson,219.500427,126.000000,1,False,2010-06,
16239,2010-Q2,B2_ma3,7.666667,0.000000,1,False,2010-06,
16239,2010-Q2,M2_gbm_poisson,12.648552,0.000000,1,False,2010-06,
16243B,2010-Q2,B2_ma3,68.333333,0.000000,1,False,2010-06,
16243B,2010-Q2,M2_gbm_poisson,18.760637,0.000000,1,False,2010-06,
16244A,2010-Q2,B2_ma3,35.000000,0.000000,1,False,2010-06,
16244A,2010-Q2,M2_gbm_poisson,19.389661,0.000000,1,False,2010-06,
16244B,2010-Q2,B2_ma3,84.666667,0.000000,1,False,2010-06,
16244B,2010-Q2,M2_gbm_poisson,20.839299,0.000000,1,False,2010-06,
16245A,2010-Q2,B2_ma3,2.333333,1.000000,1,False,2010-06,
16245A,2010-Q2,M2_gbm_poisson,9.710693,1.000000,1,False,2010-06,
16254,2010-Q2,B2_ma3,0.666667,0.000000,1,False,2010-06,
16254,2010-Q2,M2_gbm_poisson,6.270356,0.000000,1,False,2010-06,
16256B,2010-Q2,B2_ma3,89.000000,74.000000,1,False,2010-06,
16256B,2010-Q2,M2_gbm_poisson,64.512930,74.000000,1,False,2010-06,
16256C,2010-Q2,B2_ma3,35.333333,0.000000,1,False,2010-06,
16256C,2010-Q2,M2_gbm_poisson,34.706366,0.000000,1,False,2010-06,
16258A,2010-Q2,B2_ma3,26.000000,15.000000,1,False,2010-06,
16258A,2010-Q2,M2_gbm_poisson,28.978791,15.000000,1,False,2010-06,
16258B,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16258B,2010-Q2,M2_gbm_poisson,4.150854,0.000000,1,False,2010-06,
16259,2010-Q2,B2_ma3,269.333333,39.000000,1,False,2010-06,
16259,2010-Q2,M2_gbm_poisson,370.587764,39.000000,1,False,2010-06,
17001,2010-Q2,B2_ma3,193.333333,144.000000,1,False,2010-06,
17001,2010-Q2,M2_gbm_poisson,47.237938,144.000000,1,False,2010-06,
17003,2010-Q2,B2_ma3,1956.000000,3350.000000,1,False,2010-06,
17003,2010-Q2,M2_gbm_poisson,1326.639878,3350.000000,1,False,2010-06,
17007B,2010-Q2,B2_ma3,0.000000,2.000000,1,False,2010-06,
17007B,2010-Q2,M2_gbm_poisson,2.142506,2.000000,1,False,2010-06,
17011A,2010-Q2,B2_ma3,3.000000,0.000000,1,False,2010-06,
17011A,2010-Q2,M2_gbm_poisson,9.844047,0.000000,1,False,2010-06,
17011B,2010-Q2,B2_ma3,1.000000,0.000000,1,False,2010-06,
17011B,2010-Q2,M2_gbm_poisson,23.858956,0.000000,1,False,2010-06,
17011C,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
17011C,2010-Q2,M2_gbm_poisson,2.851299,0.000000,1,False,2010-06,
17011D,2010-Q2,B2_ma3,0.333333,0.000000,1,False,2010-06,
17011D,2010-Q2,M2_gbm_poisson,7.008715,0.000000,1,False,2010-06,
17011E,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
17011E,2010-Q2,M2_gbm_poisson,3.520465,0.000000,1,False,2010-06,
17011F,2010-Q2,B2_ma3,9.666667,0.000000,1,False,2010-06,
17011F,2010-Q2,M2_gbm_poisson,18.795462,0.000000,1,False,2010-06,
17012A,2010-Q2,B2_ma3,74.333333,0.000000,1,False,2010-06,
17012A,2010-Q2,M2_gbm_poisson,18.253248,0.000000,1,False,2010-06,
17012B,2010-Q2,B2_ma3,12.000000,0.000000,1,False,2010-06,
17012B,2010-Q2,M2_gbm_poisson,40.192988,0.000000,1,False,2010-06,
17012C,2010-Q2,B2_ma3,5.000000,0.000000,1,False,2010-06,
17012C,2010-Q2,M2_gbm_poisson,8.529190,0.000000,1,False,2010-06,
17012D,2010-Q2,B2_ma3,0.333333,0.000000,1,False,2010-06,
17012D,2010-Q2,M2_gbm_poisson,5.368033,0.000000,1,False,2010-06,
17012E,2010-Q2,B2_ma3,3.000000,0.000000,1,False,2010-06,
17012E,2010-Q2,M2_gbm_poisson,15.801351,0.000000,1,False,2010-06,
17012F,2010-Q2,B2_ma3,8.333333,0.000000,1,False,2010-06,
17012F,2010-Q2,M2_gbm_poisson,18.735584,0.000000,1,False,2010-06,
17013B,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
17013B,2010-Q2,M2_gbm_poisson,2.753362,0.000000,1,False,2010-06,
17013C,2010-Q2,B2_ma3,32.000000,0.000000,1,False,2010-06,
17013C,2010-Q2,M2_gbm_poisson,12.830122,0.000000,1,False,2010-06,
17013D,2010-Q2,B2_ma3,36.333333,98.000000,1,False,2010-06,
17013D,2010-Q2,M2_gbm_poisson,21.086673,98.000000,1,False,2010-06,
17013F,2010-Q2,B2_ma3,1.333333,0.000000,1,False,2010-06,
17013F,2010-Q2,M2_gbm_poisson,4.050472,0.000000,1,False,2010-06,
17014A,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
17014A,2010-Q2,M2_gbm_poisson,4.024509,0.000000,1,False,2010-06,
17014C,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
17014C,2010-Q2,M2_gbm_poisson,4.023849,0.000000,1,False,2010-06,
17014D,2010-Q2,B2_ma3,65.333333,1.000000,1,False,2010-06,
17014D,2010-Q2,M2_gbm_poisson,12.972104,1.000000,1,False,2010-06,
17014E,2010-Q2,B2_ma3,1.333333,1.000000,1,False,2010-06,
17014E,2010-Q2,M2_gbm_poisson,36.537447,1.000000,1,False,2010-06,
17014F,2010-Q2,B2_ma3,0.000000,2.000000,1,False,2010-06,
17014F,2010-Q2,M2_gbm_poisson,2.225303,2.000000,1,False,2010-06,
17021,2010-Q2,B2_ma3,264.000000,54.000000,1,False,2010-06,
17021,2010-Q2,M2_gbm_poisson,51.870849,54.000000,1,False,2010-06,
17027A,2010-Q2,B2_ma3,28.000000,0.000000,1,False,2010-06,
17027A,2010-Q2,M2_gbm_poisson,16.291479,0.000000,1,False,2010-06,
17033,2010-Q2,B2_ma3,706.333333,0.000000,1,False,2010-06,
17033,2010-Q2,M2_gbm_poisson,444.782768,0.000000,1,False,2010-06,
17038,2010-Q2,B2_ma3,72.333333,201.000000,1,False,2010-06,
17038,2010-Q2,M2_gbm_poisson,155.155988,201.000000,1,False,2010-06,
17039,2010-Q2,B2_ma3,763.333333,117.000000,1,False,2010-06,
17039,2010-Q2,M2_gbm_poisson,453.877255,117.000000,1,False,2010-06,
17061,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
17061,2010-Q2,M2_gbm_poisson,3.150024,0.000000,1,False,2010-06,
17084A,2010-Q2,B2_ma3,8.333333,75.000000,1,False,2010-06,
17084A,2010-Q2,M2_gbm_poisson,11.939550,75.000000,1,False,2010-06,
17084G,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
17084G,2010-Q2,M2_gbm_poisson,2.917328,0.000000,1,False,2010-06,
17084J,2010-Q2,B2_ma3,25.666667,25.000000,1,False,2010-06,
17084J,2010-Q2,M2_gbm_poisson,43.817519,25.000000,1,False,2010-06,
17084N,2010-Q2,B2_ma3,114.000000,351.000000,1,False,2010-06,
17084N,2010-Q2,M2_gbm_poisson,171.423624,351.000000,1,False,2010-06,
17084P,2010-Q2,B2_ma3,102.333333,26.000000,1,False,2010-06,
17084P,2010-Q2,M2_gbm_poisson,110.062693,26.000000,1,False,2010-06,
17084R,2010-Q2,B2_ma3,1260.000000,936.000000,1,False,2010-06,
17084R,2010-Q2,M2_gbm_poisson,872.637554,936.000000,1,False,2010-06,
17090A,2010-Q2,B2_ma3,7.333333,7.000000,1,False,2010-06,
17090A,2010-Q2,M2_gbm_poisson,11.119686,7.000000,1,False,2010-06,
17090D,2010-Q2,B2_ma3,9.000000,1.000000,1,False,2010-06,
17090D,2010-Q2,M2_gbm_poisson,12.345158,1.000000,1,False,2010-06,
17091A,2010-Q2,B2_ma3,238.000000,56.000000,1,False,2010-06,
17091A,2010-Q2,M2_gbm_poisson,98.543796,56.000000,1,False,2010-06,
17091B,2010-Q2,B2_ma3,29.000000,16.000000,1,False,2010-06,
17091B,2010-Q2,M2_gbm_poisson,32.143684,16.000000,1,False,2010-06,
17091F,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
17091F,2010-Q2,M2_gbm_poisson,2.275435,0.000000,1,False,2010-06,
17091J,2010-Q2,B2_ma3,242.666667,60.000000,1,False,2010-06,
17091J,2010-Q2,M2_gbm_poisson,220.570539,60.000000,1,False,2010-06,
17096,2010-Q2,B2_ma3,486.333333,83.000000,1,False,2010-06,
17096,2010-Q2,M2_gbm_poisson,45.482490,83.000000,1,False,2010-06,
17107D,2010-Q2,B2_ma3,6.666667,12.000000,1,False,2010-06,
17107D,2010-Q2,M2_gbm_poisson,12.048070,12.000000,1,False,2010-06,
17108D,2010-Q2,B2_ma3,36.000000,0.000000,1,False,2010-06,
17108D,2010-Q2,M2_gbm_poisson,20.159536,0.000000,1,False,2010-06,
17109A,2010-Q2,B2_ma3,151.333333,0.000000,1,False,2010-06,
17109A,2010-Q2,M2_gbm_poisson,35.383946,0.000000,1,False,2010-06,
17109B,2010-Q2,B2_ma3,34.000000,0.000000,1,False,2010-06,
17109B,2010-Q2,M2_gbm_poisson,12.605459,0.000000,1,False,2010-06,
17109C,2010-Q2,B2_ma3,20.000000,0.000000,1,False,2010-06,
17109C,2010-Q2,M2_gbm_poisson,21.387011,0.000000,1,False,2010-06,
17109D,2010-Q2,B2_ma3,163.000000,79.000000,1,False,2010-06,
17109D,2010-Q2,M2_gbm_poisson,39.220585,79.000000,1,False,2010-06,
17129C,2010-Q2,B2_ma3,25.666667,0.000000,1,False,2010-06,
17129C,2010-Q2,M2_gbm_poisson,66.626203,0.000000,1,False,2010-06,
17129D,2010-Q2,B2_ma3,5.666667,0.000000,1,False,2010-06,
17129D,2010-Q2,M2_gbm_poisson,19.809756,0.000000,1,False,2010-06,
17129F,2010-Q2,B2_ma3,91.666667,195.000000,1,False,2010-06,
17129F,2010-Q2,M2_gbm_poisson,86.747945,195.000000,1,False,2010-06,
17136A,2010-Q2,B2_ma3,24.666667,0.000000,1,False,2010-06,
17136A,2010-Q2,M2_gbm_poisson,28.506806,0.000000,1,False,2010-06,
17164B,2010-Q2,B2_ma3,94.000000,118.000000,1,False,2010-06,
17164B,2010-Q2,M2_gbm_poisson,68.872799,118.000000,1,False,2010-06,
17164D,2010-Q2,B2_ma3,64.333333,0.000000,1,False,2010-06,
17164D,2010-Q2,M2_gbm_poisson,17.913039,0.000000,1,False,2010-06,
17165B,2010-Q2,B2_ma3,40.666667,130.000000,1,False,2010-06,
17165B,2010-Q2,M2_gbm_poisson,59.707962,130.000000,1,False,2010-06,
17165D,2010-Q2,B2_ma3,30.000000,111.000000,1,False,2010-06,
17165D,2010-Q2,M2_gbm_poisson,49.423018,111.000000,1,False,2010-06,
17174,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
17174,2010-Q2,M2_gbm_poisson,2.872887,0.000000,1,False,2010-06,
17178,2010-Q2,B2_ma3,19.666667,2.000000,1,False,2010-06,
17178,2010-Q2,M2_gbm_poisson,37.732875,2.000000,1,False,2010-06,
17181,2010-Q2,B2_ma3,65.333333,28.000000,1,False,2010-06,
17181,2010-Q2,M2_gbm_poisson,76.590883,28.000000,1,False,2010-06,
17191A,2010-Q2,B2_ma3,3.666667,3.000000,1,False,2010-06,
17191A,2010-Q2,M2_gbm_poisson,12.583205,3.000000,1,False,2010-06,
18007,2010-Q2,B2_ma3,919.333333,21.000000,1,False,2010-06,
18007,2010-Q2,M2_gbm_poisson,276.291374,21.000000,1,False,2010-06,
18010,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
18010,2010-Q2,M2_gbm_poisson,2.506796,0.000000,1,False,2010-06,
18094C,2010-Q2,B2_ma3,25.666667,20.000000,1,False,2010-06,
18094C,2010-Q2,M2_gbm_poisson,29.575343,20.000000,1,False,2010-06,
18096C,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
18096C,2010-Q2,M2_gbm_poisson,3.468920,0.000000,1,False,2010-06,
18097A,2010-Q2,B2_ma3,0.333333,0.000000,1,False,2010-06,
18097A,2010-Q2,M2_gbm_poisson,5.029428,0.000000,1,False,2010-06,
18097B,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
18097B,2010-Q2,M2_gbm_poisson,2.062531,0.000000,1,False,2010-06,
18097C,2010-Q2,B2_ma3,35.000000,147.000000,1,False,2010-06,
18097C,2010-Q2,M2_gbm_poisson,40.981433,147.000000,1,False,2010-06,
18098A,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
18098A,2010-Q2,M2_gbm_poisson,2.088677,0.000000,1,False,2010-06,
