stock_code,description,forecast_origin,horizon,target_month,model,forecast,sigma,sigma_source,n_residuals_product,z,safety_stock,target_inventory,abc_class,status,run_id
17084J,LOVE POTION MASALA INCENSE,2011-11,1,2011-12,M2_gbm_poisson,7.002211,30.622532,product,18,1.645000,50.374064,58,C,Forecast,20260824T181001Z-27103c
17084N,FAIRY DREAMS INCENSE,2011-11,1,2011-12,M2_gbm_poisson,73.773067,69.889422,product,18,1.645000,114.968099,189,C,Forecast,20260824T181001Z-27103c
17084P,DRAGONS BLOOD INCENSE,2011-11,1,2011-12,M2_gbm_poisson,43.099206,14.756174,product,18,1.645000,24.273905,68,C,Forecast,20260824T181001Z-27103c
17084R,ASSORTED INCENSE PACK,2011-11,1,2011-12,M2_gbm_poisson,115.624991,323.009032,product,18,1.645000,531.349857,647,B,Forecast,20260824T181001Z-27103c
17090A,LAVENDER INCENSE 40 CONES IN TIN,2011-11,1,2011-12,M2_gbm_poisson,14.228333,7.619058,product,18,1.645000,12.533350,27,C,Forecast,20260824T181001Z-27103c
17090D,VANILLA INCENSE 40 CONES IN TIN,2011-11,1,2011-12,M2_gbm_poisson,2.006944,4.629339,product,18,1.645000,7.615262,10,C,Forecast,20260824T181001Z-27103c
17091J,VANILLA INCENSE IN TIN,2011-11,1,2011-12,M2_gbm_poisson,86.786149,126.391428,product,18,1.645000,207.913898,295,B,Forecast,20260824T181001Z-27103c
17096,ASSORTED LAQUERED INCENSE HOLDERS,2011-11,1,2011-12,M2_gbm_poisson,2.186764,145.401582,product,18,1.645000,239.185603,242,B,Forecast,20260824T181001Z-27103c
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2011-11,1,2011-12,M2_gbm_poisson,33.305903,15.850158,product,18,1.645000,26.073510,60,C,Forecast,20260824T181001Z-27103c
17129F,BLUE GLASS GEMS IN BAG,2011-11,1,2011-12,M2_gbm_poisson,23.060381,47.952193,product,18,1.645000,78.881357,102,B,Forecast,20260824T181001Z-27103c
17136A,BLUE STONES ON WIRE FOR CANDLE,2011-11,1,2011-12,M2_gbm_poisson,60.465828,70.359013,product,18,1.645000,115.740576,177,C,Forecast,20260824T181001Z-27103c
17174,ASSTD RASTA KEY-CHAINS,2011-11,1,2011-12,M2_gbm_poisson,13.377388,2.719537,product,13,1.645000,4.473638,18,C,Forecast,20260824T181001Z-27103c
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,2011-11,1,2011-12,M2_gbm_poisson,5.588407,4.464405,product,12,1.645000,7.343947,13,C,Forecast,20260824T181001Z-27103c
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2011-11,1,2011-12,M2_gbm_poisson,2.976703,124.654501,product,18,1.645000,205.056655,209,C,Forecast,20260824T181001Z-27103c
18094C,WHITE AND BLUE CERAMIC OIL BURNER,2011-11,1,2011-12,M2_gbm_poisson,8.138275,26.261963,product,18,1.645000,43.200929,52,C,Forecast,20260824T181001Z-27103c
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2011-11,1,2011-12,M2_gbm_poisson,1.989265,1.331987,product,18,1.645000,2.191118,5,C,Forecast,20260824T181001Z-27103c
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2011-11,1,2011-12,M2_gbm_poisson,33.939281,43.379131,product,18,1.645000,71.358670,106,A,Forecast,20260824T181001Z-27103c
18098C,PORCELAIN BUTTERFLY OIL BURNER,2011-11,1,2011-12,M2_gbm_poisson,2.958352,15.019017,product,18,1.645000,24.706283,28,A,Forecast,20260824T181001Z-27103c
20615,BLUE POLKADOT PASSPORT COVER,2011-11,1,2011-12,M2_gbm_poisson,53.046891,25.927222,product,18,1.645000,42.650280,96,C,Forecast,20260824T181001Z-27103c
20616,CHERRY BLOSSOM PASSPORT COVER,2011-11,1,2011-12,M2_gbm_poisson,30.280835,12.576717,product,18,1.645000,20.688700,51,C,Forecast,20260824T181001Z-27103c
20617,FIRST CLASS PASSPORT COVER,2011-11,1,2011-12,M2_gbm_poisson,15.719489,18.809464,product,18,1.645000,30.941569,47,C,Forecast,20260824T181001Z-27103c
20618,QUEEN OF THE SKIES PASSPORT COVER,2011-11,1,2011-12,M2_gbm_poisson,17.065464,19.790221,product,18,1.645000,32.554914,50,C,Forecast,20260824T181001Z-27103c
20619,TROPICAL PASSPORT COVER,2011-11,1,2011-12,M2_gbm_poisson,15.218347,16.218554,product,18,1.645000,26.679521,42,C,Forecast,20260824T181001Z-27103c
20622,VIPPASSPORT COVER,2011-11,1,2011-12,M2_gbm_poisson,19.695282,14.736321,product,18,1.645000,24.241248,44,B,Forecast,20260824T181001Z-27103c
20652,BLUE POLKADOT LUGGAGE TAG,2011-11,1,2011-12,M2_gbm_poisson,46.150356,18.116972,product,18,1.645000,29.802419,76,C,Forecast,20260824T181001Z-27103c
20653,CHERRY BLOSSOM LUGGAGE TAG,2011-11,1,2011-12,M2_gbm_poisson,17.506933,12.507937,product,18,1.645000,20.575557,39,C,Forecast,20260824T181001Z-27103c
20654,FIRST CLASS LUGGAGE TAG,2011-11,1,2011-12,M2_gbm_poisson,30.499800,18.164719,product,18,1.645000,29.880963,61,C,Forecast,20260824T181001Z-27103c
20655,QUEEN OF SKIES LUGGAGE TAG,2011-11,1,2011-12,M2_gbm_poisson,17.628763,23.447210,product,18,1.645000,38.570661,57,C,Forecast,20260824T181001Z-27103c
20657,TROPICAL LUGGAGE TAG,2011-11,1,2011-12,M2_gbm_poisson,15.249272,15.980345,product,18,1.645000,26.287667,42,C,Forecast,20260824T181001Z-27103c
20658,RED SPOTTY LUGGAGE TAG,2011-11,1,2011-12,M2_gbm_poisson,5.683215,30.386879,product,18,1.645000,49.986416,56,B,Forecast,20260824T181001Z-27103c
20659,ECONOMY LUGGAGE TAG,2011-11,1,2011-12,M2_gbm_poisson,31.440757,20.561231,product,18,1.645000,33.823225,66,C,Forecast,20260824T181001Z-27103c
20661,BLUE SPOTTY PURSE,2011-11,1,2011-12,M2_gbm_poisson,12.156765,17.300685,product,18,1.645000,28.459628,41,C,Forecast,20260824T181001Z-27103c
20662,FIRST CLASS HOLIDAY PURSE,2011-11,1,2011-12,M2_gbm_poisson,3.491593,11.338829,product,18,1.645000,18.652374,23,C,Forecast,20260824T181001Z-27103c
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2011-11,1,2011-12,M2_gbm_poisson,3.491593,11.012595,product,18,1.645000,18.115720,22,C,Forecast,20260824T181001Z-27103c
20664,TROPICAL HOLIDAY PURSE,2011-11,1,2011-12,M2_gbm_poisson,3.135932,6.317818,product,18,1.645000,10.392811,14,C,Forecast,20260824T181001Z-27103c
20665,RED RETROSPOT PURSE,2011-11,1,2011-12,M2_gbm_poisson,20.591996,19.940047,product,18,1.645000,32.801378,54,A,Forecast,20260824T181001Z-27103c
20666,ECONOMY HOLIDAY PURSE,2011-11,1,2011-12,M2_gbm_poisson,2.006944,7.075577,product,18,1.645000,11.639325,14,C,Forecast,20260824T181001Z-27103c
20667,CHERRY BLOSSOM PURSE,2011-11,1,2011-12,M2_gbm_poisson,3.130582,3.802094,product,17,1.645000,6.254444,10,C,Forecast,20260824T181001Z-27103c
20668,DISCO BALL CHRISTMAS DECORATION,2011-11,1,2011-12,M2_gbm_poisson,1640.395962,1071.941642,product,18,1.645000,1763.344001,3404,B,Forecast,20260824T181001Z-27103c
20669,RED HEART LUGGAGE TAG,2011-11,1,2011-12,M2_gbm_poisson,41.594775,26.077885,product,18,1.645000,42.898121,85,C,Forecast,20260824T181001Z-27103c
20670,VIP HOLIDAY PURSE,2011-11,1,2011-12,M2_gbm_poisson,4.205931,6.221965,product,18,1.645000,10.235133,15,C,Forecast,20260824T181001Z-27103c
20674,GREEN POLKADOT BOWL,2011-11,1,2011-12,M2_gbm_poisson,70.381817,61.863745,product,18,1.645000,101.765860,173,A,Forecast,20260824T181001Z-27103c
20675,BLUE POLKADOT BOWL,2011-11,1,2011-12,M2_gbm_poisson,121.292327,87.418588,product,18,1.645000,143.803577,266,A,Forecast,20260824T181001Z-27103c
20676,RED RETROSPOT BOWL,2011-11,1,2011-12,M2_gbm_poisson,229.347026,199.352190,product,18,1.645000,327.934353,558,A,Forecast,20260824T181001Z-27103c
20677,PINK POLKADOT BOWL,2011-11,1,2011-12,M2_gbm_poisson,139.129135,127.924707,product,18,1.645000,210.436144,350,A,Forecast,20260824T181001Z-27103c
20678,LARGE BLACK DIAMANTE HAIRSLIDE,2011-11,1,2011-12,M2_gbm_poisson,30.958231,7.836625,abc_group,2,1.645000,12.891247,44,C,Forecast,20260824T181001Z-27103c
20679,EDWARDIAN PARASOL RED,2011-11,1,2011-12,M2_gbm_poisson,101.617488,96.712633,product,18,1.645000,159.092281,261,A,Forecast,20260824T181001Z-27103c
20682,RED RETROSPOT CHILDRENS UMBRELLA,2011-11,1,2011-12,M2_gbm_poisson,85.063496,81.521944,product,18,1.645000,134.103598,220,A,Forecast,20260824T181001Z-27103c
20684,STRAWBERRY DREAM CHILDS UMBRELLA,2011-11,1,2011-12,M2_gbm_poisson,2.064227,14.800545,product,18,1.645000,24.346896,27,B,Forecast,20260824T181001Z-27103c
20685,DOORMAT RED RETROSPOT,2011-11,1,2011-12,M2_gbm_poisson,223.354020,139.547247,product,18,1.645000,229.555222,453,A,Forecast,20260824T181001Z-27103c
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,2011-11,1,2011-12,M2_gbm_poisson,49.115823,17.489862,product,18,1.645000,28.770822,78,B,Forecast,20260824T181001Z-27103c
20694,FLORAL PINK MONSTER,2011-11,1,2011-12,M2_gbm_poisson,9.516632,9.304654,product,18,1.645000,15.306155,25,C,Forecast,20260824T181001Z-27103c
20695,FLORAL BLUE MONSTER,2011-11,1,2011-12,M2_gbm_poisson,4.826633,3.863411,product,18,1.645000,6.355311,12,C,Forecast,20260824T181001Z-27103c
20696,FLORAL SOFT CAR TOY,2011-11,1,2011-12,M2_gbm_poisson,11.495389,9.725528,product,18,1.645000,15.998494,28,C,Forecast,20260824T181001Z-27103c
20697,LITTLE GREEN MONSTER SOFT TOY,2011-11,1,2011-12,M2_gbm_poisson,8.952681,2.459193,product,18,1.645000,4.045372,13,C,Forecast,20260824T181001Z-27103c
20698,LITTLE PINK MONSTER SOFT TOY,2011-11,1,2011-12,M2_gbm_poisson,11.725992,3.151406,product,18,1.645000,5.184063,17,C,Forecast,20260824T181001Z-27103c
20699,MOUSEY LONG LEGS SOFT TOY,2011-11,1,2011-12,M2_gbm_poisson,5.112400,11.016758,product,18,1.645000,18.122566,24,C,Forecast,20260824T181001Z-27103c
20700,GREEN CAT FLORAL CUSHION COVER,2011-11,1,2011-12,M2_gbm_poisson,6.526302,7.361102,product,18,1.645000,12.109012,19,B,Forecast,20260824T181001Z-27103c
20701,PINK CAT FLORAL CUSHION COVER,2011-11,1,2011-12,M2_gbm_poisson,2.100929,3.609432,product,18,1.645000,5.937516,9,C,Forecast,20260824T181001Z-27103c
20702,PINK PADDED MOBILE,2011-11,1,2011-12,M2_gbm_poisson,5.274137,19.189934,product,18,1.645000,31.567441,37,B,Forecast,20260824T181001Z-27103c
20704,MR ROBOT SOFT TOY,2011-11,1,2011-12,M2_gbm_poisson,11.009346,6.029979,product,18,1.645000,9.919316,21,B,Forecast,20260824T181001Z-27103c
20705,MRS ROBOT SOFT TOY,2011-11,1,2011-12,M2_gbm_poisson,6.883450,5.324836,product,18,1.645000,8.759356,16,C,Forecast,20260824T181001Z-27103c
20707,CRAZY DAISY HEART DECORATION,2011-11,1,2011-12,M2_gbm_poisson,29.642537,23.304808,product,18,1.645000,38.336409,68,B,Forecast,20260824T181001Z-27103c
20711,JUMBO BAG TOYS,2011-11,1,2011-12,M2_gbm_poisson,189.445820,249.273762,product,18,1.645000,410.055338,600,A,Forecast,20260824T181001Z-27103c
20712,JUMBO BAG WOODLAND ANIMALS,2011-11,1,2011-12,M2_gbm_poisson,460.187170,446.983614,product,18,1.645000,735.288045,1196,A,Forecast,20260824T181001Z-27103c
20713,JUMBO BAG OWLS,2011-11,1,2011-12,M2_gbm_poisson,525.802126,830.173587,product,18,1.645000,1365.635551,1892,A,Forecast,20260824T181001Z-27103c
20716,PARTY FOOD SHOPPER BAG,2011-11,1,2011-12,M2_gbm_poisson,2.006944,25.753555,product,18,1.645000,42.364599,45,B,Forecast,20260824T181001Z-27103c
20717,STRAWBERRY SHOPPER BAG,2011-11,1,2011-12,M2_gbm_poisson,111.728731,99.843852,product,18,1.645000,164.243137,276,A,Forecast,20260824T181001Z-27103c
20718,RED RETROSPOT SHOPPER BAG,2011-11,1,2011-12,M2_gbm_poisson,248.520814,176.446985,product,18,1.645000,290.255290,539,A,Forecast,20260824T181001Z-27103c
20719,WOODLAND CHARLOTTE BAG,2011-11,1,2011-12,M2_gbm_poisson,536.866669,583.398989,product,18,1.645000,959.691337,1497,A,Forecast,20260824T181001Z-27103c
20723,STRAWBERRY CHARLOTTE BAG,2011-11,1,2011-12,M2_gbm_poisson,417.669863,241.823294,product,18,1.645000,397.799319,816,A,Forecast,20260824T181001Z-27103c
20724,RED RETROSPOT CHARLOTTE BAG,2011-11,1,2011-12,M2_gbm_poisson,969.296519,470.990500,product,18,1.645000,774.779372,1745,A,Forecast,20260824T181001Z-27103c
20725,LUNCH BAG RED RETROSPOT,2011-11,1,2011-12,M2_gbm_poisson,1013.822299,556.809295,product,18,1.645000,915.951290,1930,A,Forecast,20260824T181001Z-27103c
20726,LUNCH BAG WOODLAND,2011-11,1,2011-12,M2_gbm_poisson,391.505214,326.784390,product,18,1.645000,537.560322,930,A,Forecast,20260824T181001Z-27103c
20727,LUNCH BAG  BLACK SKULL.,2011-11,1,2011-12,M2_gbm_poisson,854.205813,546.230012,product,18,1.645000,898.548369,1753,A,Forecast,20260824T181001Z-27103c
20728,LUNCH BAG CARS BLUE,2011-11,1,2011-12,M2_gbm_poisson,566.963756,582.564400,product,18,1.645000,958.318439,1526,A,Forecast,20260824T181001Z-27103c
20731,POSY CANDY BAG,2011-11,1,2011-12,M2_gbm_poisson,2.006944,22.839053,product,18,1.645000,37.570243,40,B,Forecast,20260824T181001Z-27103c
20733,GOLD MINI TAPE MEASURE,2011-11,1,2011-12,M2_gbm_poisson,54.143378,59.764329,product,18,1.645000,98.312321,153,B,Forecast,20260824T181001Z-27103c
