stock_code,description,forecast_origin,target_month,model,forecast,sigma,sigma_source,n_residuals_product,z,safety_stock,target_inventory,uncertainty_ratio,abc_class,last_month_units,ma3_units,months_since_last_sale,product_age_months,status,run_id
15056N,EDWARDIAN PARASOL NATURAL,2011-11,2011-12,M2_gbm_poisson,162.535003,145.044505,product,18,1.645000,238.598211,402,0.892389,A,169,271.666667,1,24,Forecast,20260824T181001Z-27103c
15056P,EDWARDIAN PARASOL PINK,2011-11,2011-12,M2_gbm_poisson,61.905701,57.840947,product,18,1.645000,95.148357,158,0.934340,A,88,62.000000,1,24,Forecast,20260824T181001Z-27103c
15058A,BLUE POLKADOT GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,8.893067,22.713863,product,18,1.645000,37.364304,47,2.554109,B,2,3.666667,1,23,Forecast,20260824T181001Z-27103c
15058B,PINK POLKADOT GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,8.242891,17.146935,product,18,1.645000,28.206708,37,2.080209,B,1,2.666667,1,23,Forecast,20260824T181001Z-27103c
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,5.735005,14.394025,product,18,1.645000,23.678171,30,2.509854,B,1,2.000000,1,23,Forecast,20260824T181001Z-27103c
15059A,ENGLISH ROSE EDWARDIAN PARASOL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-11,2011-12,M2_gbm_poisson,31.545643,29.629739,product,18,1.645000,48.740921,81,0.939266,A,19,40.000000,1,24,Forecast,20260824T181001Z-27103c
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-11,2011-12,M2_gbm_poisson,228.573973,50.118601,product,18,1.645000,82.445099,312,0.219266,C,941,517.000000,1,21,Forecast,20260824T181001Z-27103c
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16011,ANIMAL STICKERS,2011-11,2011-12,M2_gbm_poisson,134.681192,100.852808,product,18,1.645000,165.902869,301,0.748826,C,359,175.333333,1,24,Forecast,20260824T181001Z-27103c
16012,FOOD/DRINK SPONGE STICKERS,2011-11,2011-12,M2_gbm_poisson,79.933767,144.061194,product,18,1.645000,236.980664,317,1.802257,C,168,64.000000,1,24,Forecast,20260824T181001Z-27103c
16014,SMALL CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,645.612242,1596.262979,product,18,1.645000,2625.852601,3272,2.472479,A,3606,1569.000000,1,24,Forecast,20260824T181001Z-27103c
16015,MEDIUM CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,40.228264,63.999506,product,18,1.645000,105.279188,146,1.590909,C,30,16.666667,1,24,Forecast,20260824T181001Z-27103c
16016,LARGE CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,65.394055,47.966651,product,18,1.645000,78.905141,145,0.733502,B,140,76.666667,1,24,Forecast,20260824T181001Z-27103c
16020C,CLEAR STATIONERY BOX SET,2011-11,2011-12,M2_gbm_poisson,2.006944,15.020700,product,18,1.645000,24.709052,27,7.484364,C,0,0.000000,5,24,Forecast,20260824T181001Z-27103c
16033,MINI HIGHLIGHTER PENS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16043,POP ART PUSH DOWN RUBBER,2011-11,2011-12,M2_gbm_poisson,2.837980,56.494765,product,16,1.645000,92.933888,96,19.906681,C,0,0.000000,6,24,Forecast,20260824T181001Z-27103c
16044,POP-ART FLUORESCENT PENS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16045,POPART WOODEN PENCILS ASST,2011-11,2011-12,M2_gbm_poisson,465.260953,114.240916,product,18,1.645000,187.926306,654,0.245542,C,1000,1366.666667,1,23,Forecast,20260824T181001Z-27103c
16046,TEATIME PEN CASE & PENS,2011-11,2011-12,M2_gbm_poisson,6.271695,17.664771,product,18,1.645000,29.058549,36,2.816587,B,1,1.333333,1,24,Forecast,20260824T181001Z-27103c
16047,POP ART PEN CASE & PENS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16048,TEATIME ROUND PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,99.352852,104.302141,product,18,1.645000,171.577022,271,1.049815,C,126,160.333333,1,24,Forecast,20260824T181001Z-27103c
16049,TEATIME GEL PENS ASST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16050,TEATIME PENCIL WITH RUBBER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16051,TEATIME PENCIL W STAMP ASST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16052,TEATIME PUSH DOWN RUBBER,2011-11,2011-12,M2_gbm_poisson,2.035470,39.736420,product,18,1.645000,65.366411,68,19.521984,C,0,0.000000,6,24,Forecast,20260824T181001Z-27103c
16053,POPART COL BALLPOINT PEN ASST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16054,POPART RECT PENCIL SHARPENER ASST,2011-11,2011-12,M2_gbm_poisson,95.960280,32.537846,product,18,1.645000,53.524757,150,0.339076,C,330,231.333333,1,23,Forecast,20260824T181001Z-27103c
16119,FUNKY GIRL ADDRESS BOOK,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16151A,FLOWERS HANDBAG blue and orange,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16156L,"WRAP, CAROUSEL",2011-11,2011-12,M2_gbm_poisson,32.256205,27.135278,product,18,1.645000,44.637532,77,0.841242,C,25,25.000000,1,23,Forecast,20260824T181001Z-27103c
16156N,"WRAP, FRIENDSHIP ON GREEN",2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16156S,WRAP PINK FAIRY CAKES,2011-11,2011-12,M2_gbm_poisson,185.839007,404.762864,product,18,1.645000,665.834911,852,2.178030,A,475,616.666667,1,24,Forecast,20260824T181001Z-27103c
16161C,WRAP SPEED DEMONS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16161E,WRAP BOUDOIR,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16161G,WRAP BAD HAIR DAY,2011-11,2011-12,M2_gbm_poisson,59.640306,50.993184,product,18,1.645000,83.883788,144,0.855012,C,125,116.666667,1,23,Forecast,20260824T181001Z-27103c
16161M,WRAP  PINK FLOCK,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16161P,WRAP ENGLISH ROSE,2011-11,2011-12,M2_gbm_poisson,224.832104,262.658528,product,18,1.645000,432.073278,657,1.168243,A,525,666.666667,1,24,Forecast,20260824T181001Z-27103c
16161U,WRAP SUKI AND FRIENDS,2011-11,2011-12,M2_gbm_poisson,143.881202,214.669244,product,18,1.645000,353.130906,498,1.491990,B,300,491.666667,1,24,Forecast,20260824T181001Z-27103c
16162L,THE KING GIFT BAG,2011-11,2011-12,M2_gbm_poisson,5.682340,18.993361,product,18,1.645000,31.244079,37,3.342525,C,0,3.333333,3,24,Forecast,20260824T181001Z-27103c
16162M,THE KING GIFT BAG 25x24x12cm,2011-11,2011-12,M2_gbm_poisson,14.599696,18.018057,product,15,1.645000,29.639703,45,1.234139,C,4,6.000000,1,18,Forecast,20260824T181001Z-27103c
16168M,FUNKY MONKEY GIFT BAG MEDIUM,2011-11,2011-12,M2_gbm_poisson,40.594620,19.164179,product,18,1.645000,31.525075,73,0.472087,C,35,19.333333,1,24,Forecast,20260824T181001Z-27103c
16168S,FUNKY MONKEY GIFT BAG SMALL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16169A,WRAP CHRISTMAS DECOUPAGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16169C,WRAP BLUE REINDEER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16169D,WRAP WINTER FOREST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16169E,WRAP 50'S  CHRISTMAS,2011-11,2011-12,M2_gbm_poisson,652.569014,7.836625,abc_group,4,1.645000,12.891247,666,0.012009,C,1625,1254.000000,1,5,Forecast,20260824T181001Z-27103c
16169F,WRAP BLIZZARD,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16169G,WRAP ROMANTIC DECOUPAGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16169K,WRAP FOLK ART,2011-11,2011-12,M2_gbm_poisson,9.336393,58.395602,product,18,1.645000,96.060765,106,6.254621,C,0,16.666667,3,24,Forecast,20260824T181001Z-27103c
16169M,WRAP DAISY CARPET,2011-11,2011-12,M2_gbm_poisson,43.880783,55.449151,product,18,1.645000,91.213853,136,1.263632,C,50,50.000000,1,24,Forecast,20260824T181001Z-27103c
16169N,WRAP BLUE RUSSIAN FOLKART,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16169P,WRAP GREEN RUSSIAN FOLKART,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16192,PINK BALLET OPENING CUBE BOX,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16201A,PASTEL PINK PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16201B,PASTEL BLUE PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16202A,PASTEL PINK PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16202B,PASTEL BLUE PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16202C,BEIGE PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16202E,BLACK PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16206B,RED PURSE WITH PINK HEART,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16207A,PINK STRAWBERRY HANDBAG,2011-11,2011-12,M2_gbm_poisson,9.187304,13.152106,product,18,1.645000,21.635214,31,1.431552,C,1,2.333333,1,24,Forecast,20260824T181001Z-27103c
16207B,PINK HEART RED HANDBAG,2011-11,2011-12,M2_gbm_poisson,3.130582,2.979731,product,18,1.645000,4.901658,9,0.951814,C,0,0.000000,4,24,Forecast,20260824T181001Z-27103c
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16216,LETTER SHAPE PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,207.859649,111.654905,product,18,1.645000,183.672319,392,0.537165,C,394,251.666667,1,24,Forecast,20260824T181001Z-27103c
16218,CARTOON  PENCIL SHARPENERS,2011-11,2011-12,M2_gbm_poisson,227.044976,127.928470,product,18,1.645000,210.442333,438,0.563450,C,565,550.333333,1,24,Forecast,20260824T181001Z-27103c
16219,HOUSE SHAPE PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,227.015993,79.872573,product,18,1.645000,131.390382,359,0.351837,C,265,424.666667,1,24,Forecast,20260824T181001Z-27103c
16225,RATTLE SNAKE EGGS,2011-11,2011-12,M2_gbm_poisson,64.382420,27.424370,product,18,1.645000,45.113089,110,0.425961,C,112,79.333333,1,24,Forecast,20260824T181001Z-27103c
16235,RECYCLED PENCIL WITH RABBIT ERASER,2011-11,2011-12,M2_gbm_poisson,127.842328,154.087403,product,18,1.645000,253.473777,382,1.205293,B,228,173.000000,1,24,Forecast,20260824T181001Z-27103c
16236,KITTY PENCIL ERASERS,2011-11,2011-12,M2_gbm_poisson,112.532162,101.810893,product,18,1.645000,167.478919,281,0.904727,C,260,165.333333,1,24,Forecast,20260824T181001Z-27103c
16237,SLEEPING CAT ERASERS,2011-11,2011-12,M2_gbm_poisson,325.197768,231.897307,product,18,1.645000,381.471070,707,0.713096,B,927,517.666667,1,24,Forecast,20260824T181001Z-27103c
16238,PARTY TIME PENCIL ERASERS,2011-11,2011-12,M2_gbm_poisson,73.501340,44.783212,product,18,1.645000,73.668384,148,0.609284,C,176,121.333333,1,24,Forecast,20260824T181001Z-27103c
16239,BALLERINA HEART DECORATION.,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16243B,BROWN COZY SQUARE PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16245A,PINK MINI STATIONERY SET W CASE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16248B,BLUE HOLE PUNCH,2011-11,2011-12,M2_gbm_poisson,6.032512,5.604349,product,14,1.645000,9.219155,16,0.929024,C,0,3.000000,2,15,Forecast,20260824T181001Z-27103c
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,2011-11,2011-12,M2_gbm_poisson,18.605414,7.380299,product,17,1.645000,12.140591,31,0.396675,C,7,7.666667,1,23,Forecast,20260824T181001Z-27103c
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,2011-11,2011-12,M2_gbm_poisson,54.656386,29.067920,product,18,1.645000,47.816729,103,0.531830,C,37,42.000000,1,24,Forecast,20260824T181001Z-27103c
16258B,DAISY ERASERS IN BAG,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
16259,PIECE OF CAMO STATIONERY SET,2011-11,2011-12,M2_gbm_poisson,149.437944,278.193378,product,18,1.645000,457.628106,608,1.861598,C,20,166.666667,1,24,Forecast,20260824T181001Z-27103c
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17003,BROCADE RING PURSE,2011-11,2011-12,M2_gbm_poisson,727.955925,2158.926913,product,18,1.645000,3551.434772,4280,2.965738,A,1071,1876.666667,1,24,Forecast,20260824T181001Z-27103c
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2011-11,2011-12,M2_gbm_poisson,1.984807,5.197969,product,18,1.645000,8.550658,11,2.618878,C,0,0.000000,6,24,Forecast,20260824T181001Z-27103c
17011A,ORIGAMI VANILLA INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17011B,ORIGAMI JASMINE INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17011D,ORIGAMI ROSE INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,34.436074,34.233112,product,18,1.645000,56.313470,91,0.994106,C,10,54.000000,1,24,Forecast,20260824T181001Z-27103c
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,33.897451,35.726649,product,18,1.645000,58.770337,93,1.053963,C,5,60.666667,1,24,Forecast,20260824T181001Z-27103c
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2011-11,2011-12,M2_gbm_poisson,60.106582,14.242604,product,18,1.645000,23.429083,84,0.236956,C,94,58.666667,1,22,Forecast,20260824T181001Z-27103c
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,78.992598,15.500069,product,18,1.645000,25.497614,105,0.196222,C,165,98.000000,1,21,Forecast,20260824T181001Z-27103c
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2011-11,2011-12,M2_gbm_poisson,77.543062,10.000021,product,18,1.645000,16.450034,94,0.128961,C,162,81.333333,1,21,Forecast,20260824T181001Z-27103c
17013B,ORIGAMI JASMINE INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17013D,ORIGAMI ROSE INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,2.005555,47.089890,product,18,1.645000,77.462868,80,23.479733,C,0,0.000000,6,24,Forecast,20260824T181001Z-27103c
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17014A,ORIGAMI VANILLA INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,2.027923,11.869629,product,17,1.645000,19.525540,22,5.853097,C,0,0.000000,6,24,Forecast,20260824T181001Z-27103c
17014C,ORIGAMI LAVENDER INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17014D,ORIGAMI ROSE INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17014E,ORIGAMI OPIUM INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17021,NAMASTE SWAGAT INCENSE,2011-11,2011-12,M2_gbm_poisson,63.810121,76.251741,product,18,1.645000,125.434113,190,1.194979,C,108,144.000000,1,23,Forecast,20260824T181001Z-27103c
17027A,INCENSE BAZAAR CANNABIS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17028J,INCENSE BAZAAR PEACH,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17033,"BROCADE PURSE,SMALL ARCH BUTTON",2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17038,PORCELAIN BUDAH INCENSE HOLDER,2011-11,2011-12,M2_gbm_poisson,81.093105,105.743084,product,18,1.645000,173.947373,256,1.303971,C,204,203.000000,1,24,Forecast,20260824T181001Z-27103c
17039,INLAID WOOD INCENSE HOLDER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17061,ASSORTED SHAPED STENCIL FOR HENNA,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
17084A,TRANQUILITY MASALA INCENSE,2011-11,2011-12,M2_gbm_poisson,7.131743,35.013717,product,18,1.645000,57.597564,65,4.909559,C,0,8.333333,3,22,Forecast,20260824T181001Z-27103c
17084G,MOON INCENSE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
