stock_code,selling_months,mean_price,std_price,price_cv
16248B,8,1.2500,0.0000,0.0000
16254,14,1.0157,0.3897,0.3837
16256B,7,0.4469,0.0231,0.0517
16256C,5,0.4200,0.0000,0.0000
16258A,23,0.4468,0.1211,0.2710
16258B,1,0.2176,0.0000,
16259,20,0.1710,0.0611,0.3574
17001,10,0.2672,0.0369,0.1380
17003,25,0.2333,0.0690,0.2958
17007B,6,2.1000,0.0000,0.0000
17011A,7,2.5859,1.6661,0.6443
17011B,2,1.2000,1.2728,1.0607
17011C,1,0.6609,0.0000,
17011D,3,1.0230,0.9508,0.9294
17011E,1,0.6500,0.0000,
17011F,11,1.9221,1.1753,0.6115
17012A,21,1.8461,1.2896,0.6985
17012B,20,1.9196,1.2978,0.6761
17012C,22,2.1318,1.0272,0.4819
17012D,17,2.0776,1.0385,0.4999
17012E,8,2.1908,0.6605,0.3015
17012F,20,1.9543,1.0287,0.5264
17013B,1,0.8634,0.0000,
17013C,2,0.4200,0.0000,0.0000
17013D,17,1.0604,0.8558,0.8071
17013F,5,1.3800,0.6037,0.4375
17014A,11,1.3047,1.1022,0.8448
17014C,1,0.4510,0.0000,
17014D,6,1.3051,1.1819,0.9056
17014E,4,1.3125,0.6750,0.5143
17014F,3,1.2078,0.7660,0.6342
17021,24,0.2865,0.0226,0.0788
17027A,2,0.3550,0.0919,0.2589
17028J,1,0.4200,0.0000,
17033,10,0.2798,0.0201,0.0720
17038,22,0.2590,0.2931,1.1315
17039,9,0.2856,0.0976,0.3416
17061,1,0.0400,0.0000,
17084A,13,0.2100,0.0000,0.0000
17084G,1,0.2100,0.0000,
17084J,15,0.2100,0.0000,0.0000
17084N,25,0.2453,0.0465,0.1896
17084P,20,0.2582,0.0749,0.2901
17084R,22,0.2002,0.0157,0.0785
17090A,16,1.1791,0.1531,0.1299
17090D,16,1.2269,0.0923,0.0752
17091A,18,0.7793,0.3609,0.4631
17091B,10,1.2361,0.1962,0.1587
17091F,2,1.4023,0.2154,0.1536
17091J,25,0.6312,0.3242,0.5137
17096,20,0.2474,0.1008,0.4075
17107D,24,2.5500,0.0000,0.0000
17108D,4,0.4200,0.0000,0.0000
17109A,4,0.7437,0.6328,0.8508
17109B,4,0.6658,0.6931,1.0410
17109C,4,0.6717,0.6895,1.0266
17109D,14,1.1585,0.8257,0.7127
17129C,5,0.8080,0.0939,0.1162
17129D,4,1.1002,0.2791,0.2537
17129F,25,1.2099,0.3526,0.2914
17136A,19,0.1011,0.0485,0.4794
17164B,14,0.4080,0.0194,0.0476
17164D,4,0.3907,0.0200,0.0513
17165B,11,0.9804,0.1211,0.1235
17165D,14,0.9910,0.0943,0.0952
17174,5,0.4200,0.0000,0.0000
17178,10,1.2254,0.0778,0.0635
17181,9,2.5838,1.3281,0.5140
17191A,9,3.7500,0.0000,0.0000
18007,19,0.1806,0.0784,0.4341
18010,2,0.4498,0.0422,0.0937
18094C,23,1.5471,0.4907,0.3172
18096C,3,2.7940,0.6756,0.2418
18097A,7,2.5500,0.0000,0.0000
18097B,2,2.5500,0.0000,0.0000
18097C,25,2.5874,0.6375,0.2464
18098A,1,2.9500,0.0000,
18098B,2,2.9500,0.0000,0.0000
18098C,20,3.1388,0.5120,0.1631
20615,25,2.3437,0.8411,0.3589
20616,25,2.0002,0.9326,0.4662
20617,23,2.2673,0.6017,0.2654
20618,24,2.2325,0.4015,0.1798
20619,25,2.3594,0.9125,0.3868
20620,3,4.1585,0.0892,0.0214
20621,10,2.3412,0.5024,0.2146
20622,25,2.3002,0.6792,0.2953
20652,25,1.3728,0.4682,0.3411
20653,22,1.5712,0.6623,0.4215
20654,25,1.3610,0.3081,0.2264
20655,24,1.5774,0.3534,0.2240
20657,24,1.3619,0.5353,0.3931
20658,22,1.4643,0.1928,0.1317
20659,24,1.5427,0.4462,0.2892
20660,7,1.2500,0.0000,0.0000
20661,20,3.0173,1.4497,0.4805
20662,17,2.5948,1.1827,0.4558
20663,19,2.4778,1.1032,0.4452
20664,12,2.8275,0.2216,0.0784
20665,25,3.4039,0.7637,0.2244
20666,15,2.3393,1.0325,0.4414
20667,10,2.8030,0.2367,0.0844
20668,25,0.1265,0.0159,0.1255
20669,23,1.4760,0.3157,0.2139
20670,19,2.8874,1.3392,0.4638
20671,13,1.3534,0.1407,0.1040
20672,4,1.7295,0.5559,0.3214
20673,1,1.2500,0.0000,
20674,25,1.2943,0.0769,0.0594
20675,25,1.2731,0.0847,0.0666
20676,25,1.2662,0.0698,0.0551
20677,25,1.2786,0.0893,0.0698
20678,1,1.6500,0.0000,
20679,25,5.8069,0.7307,0.1258
20680,2,3.2500,0.0000,0.0000
20681,16,3.4316,0.2449,0.0714
20682,25,3.3717,0.3078,0.0913
20683,1,3.2500,0.0000,
20684,20,3.4167,0.4828,0.1413
20685,25,7.1592,0.8051,0.1125
20686,25,3.3932,0.2597,0.0765
20688,3,3.4819,3.7767,1.0847
20689,8,5.6524,2.2219,0.3931
20692,9,4.1683,0.2871,0.0689
20693,4,4.8814,0.7306,0.1497
20694,20,4.6654,1.5632,0.3351
20695,16,4.8685,1.3634,0.2800
20696,21,4.4801,1.3238,0.2955
20697,13,2.5154,0.1248,0.0496
20698,12,2.5125,0.1299,0.0517
20699,20,2.7425,0.4509,0.1644
20700,20,6.9159,3.1445,0.4547
20701,9,3.3828,0.9216,0.2724
20702,22,4.2516,0.0945,0.0222
20703,13,4.2437,0.0511,0.0120
20704,23,6.5953,2.3111,0.3504
20705,23,6.0130,1.7871,0.2972
20707,25,1.3429,0.4592,0.3420
20711,25,2.1956,0.5110,0.2327
20712,25,2.2774,0.6365,0.2795
20713,23,2.0441,0.5152,0.2520
20714,2,0.4807,0.1237,0.2573
20715,1,1.0600,0.0000,
20716,19,1.2651,0.1161,0.0918
20717,25,1.3116,0.1871,0.1426
20718,25,1.3419,0.2112,0.1574
20719,25,1.1228,0.2624,0.2337
20721,1,0.8500,0.0000,
20723,25,1.1409,0.3447,0.3021
20724,25,1.0938,0.2589,0.2367
20725,25,1.7758,0.1650,0.0929
20726,25,1.7822,0.1563,0.0877
20727,25,1.7501,0.1587,0.0907
20728,25,1.7646,0.1624,0.0920
20729,7,1.1118,0.4537,0.4081
20730,9,1.0836,0.3559,0.3285
20731,18,1.2273,0.4161,0.3390
20733,24,0.8349,0.1218,0.1459
20734,17,1.1631,0.4333,0.3725
20735,24,1.1125,0.3954,0.3555
20736,4,0.8250,0.0500,0.0606
20737,1,1.7000,0.0000,
20738,12,0.8329,0.0459,0.0551
20739,1,8.6500,0.0000,
20747,6,13.5881,0.7665,0.0564
20748,23,12.9244,2.5201,0.1950
20749,25,7.3417,0.4205,0.0573
20750,25,7.3381,0.3004,0.0409
20751,25,2.1314,0.0831,0.0390
20752,24,2.1772,0.2668,0.1225
20753,2,1.9561,0.5508,0.2816
20754,24,2.1090,0.1933,0.0916
20755,21,0.8243,0.1764,0.2141
20756,16,0.8011,0.1961,0.2448
20757,22,0.8845,0.2915,0.3296
20758,24,0.8131,0.1560,0.1919
20759,23,0.8092,0.1586,0.1960
20760,20,0.8285,0.2610,0.3150
20761,25,3.8335,0.6858,0.1789
20762,24,3.7161,0.5877,0.1581
20763,23,3.3820,1.0508,0.3107
20764,25,3.8260,0.7005,0.1831
20765,25,4.0101,1.2807,0.3194
20766,25,3.8816,0.8426,0.2171
20767,25,2.5893,0.4384,0.1693
20768,25,2.5001,0.3421,0.1368
20769,21,2.6303,0.6672,0.2537
20770,24,2.4111,0.2990,0.1240
20771,23,2.5411,0.4080,0.1606
20772,24,2.4863,0.4361,0.1754
20773,22,1.6007,0.3271,0.2043
20774,23,1.6047,0.3224,0.2009
20775,22,1.6849,0.4783,0.2839
20776,10,1.5221,0.4836,0.3177
20777,24,1.6623,0.3686,0.2217
20778,16,1.6158,0.4232,0.2619
20780,19,6.9933,2.1830,0.3122
20781,22,6.2815,2.1033,0.3348
20782,19,6.3957,1.2145,0.1899
20783,8,6.4867,1.7460,0.2692
20784,8,37.5520,5.2296,0.1393
20785,14,38.7543,4.5879,0.1184
20786,9,40.5684,13.6089,0.3355
20787,8,41.4998,8.9094,0.2147
20791,1,12.7500,0.0000,
20793,14,7.8757,3.4832,0.4423
20794,22,3.1637,0.8507,0.2689
20795,15,2.6875,0.8759,0.3259
20796,15,2.1479,0.7553,0.3517
20798,14,2.6279,0.7104,0.2703
20799,6,2.5901,1.0250,0.3957
20800,3,2.9208,2.4298,0.8319
20801,17,2.9688,1.3844,0.4663
20802,24,1.8772,0.5377,0.2864
20803,18,1.6905,0.7677,0.4541
20804,6,1.8070,0.1769,0.0979
20812,2,2.5500,0.0000,0.0000
20814,3,1.1437,0.0938,0.0820
20816,6,5.9500,1.9596,0.3293
20818,13,4.2560,1.9083,0.4484
20819,21,3.8267,1.2953,0.3385
20820,8,4.9500,0.0000,0.0000
20821,15,6.9831,2.5915,0.3711
20822,1,4.6500,0.0000,
20823,8,3.1705,1.9720,0.6220
20825,5,3.6984,0.1780,0.0481
20826,8,1.6517,0.7850,0.4753
20827,5,1.7310,0.7554,0.4364
20828,25,2.6337,0.2781,0.1056
20829,25,2.1339,0.1504,0.0705
20830,20,2.6953,0.6627,0.2459
20831,24,2.5631,0.8651,0.3375
20832,23,0.8709,0.3308,0.3799
20833,3,25.1500,21.4774,0.8540
20835,6,2.6621,4.1071,1.5428
20836,10,1.4680,1.0227,0.6967
20837,9,1.5389,1.0584,0.6877
20838,14,1.9409,1.0273,0.5293
20839,21,3.0922,2.2913,0.7410
20840,19,2.7305,2.4650,0.9028
20845,11,6.4809,0.3089,0.0477
20846,25,1.3925,0.1776,0.1276
20847,17,4.7440,1.6308,0.3438
20848,11,2.9500,0.0000,0.0000
20849,10,3.5100,1.3368,0.3809
20850,8,2.6650,0.8060,0.3024
20851,15,5.6456,1.4298,0.2533
20854,15,1.6450,0.0286,0.0174
20855,9,1.6500,0.0000,0.0000
20856,21,1.6512,0.0114,0.0069
20857,15,1.6500,0.0000,0.0000
20858,1,1.6500,0.0000,
20860,7,2.1000,0.0000,0.0000
20861,8,2.1000,0.0000,0.0000
20862,6,2.1557,0.3582,0.1661
20863,9,2.1655,0.3949,0.1824
20864,9,2.0331,0.2133,0.1049
20865,7,2.0248,0.2390,0.1180
20866,24,1.4424,0.4811,0.3335
20867,23,1.3034,0.2928,0.2247
20868,20,0.9747,0.5771,0.5921
20869,19,0.9348,0.5611,0.6002
20870,1,1.8000,0.0000,
20871,13,1.9421,1.0348,0.5328
20877,1,0.4200,0.0000,
20878,6,1.2846,0.0935,0.0728
20879,1,1.1895,0.0000,
20881,1,0.8500,0.0000,
20882,1,2.9500,0.0000,
20884,1,2.1000,0.0000,
20885,1,2.9500,0.0000,
20886,24,2.0422,0.1625,0.0796
20887,1,6.5772,0.0000,
20888,4,2.1566,0.8938,0.4145
20889,4,1.4859,1.0431,0.7020
20890,4,2.9925,3.4874,1.1654
20891,2,5.4883,7.3374,1.3369
20892,13,14.5881,4.9358,0.3383
20893,22,2.7713,0.5763,0.2079
20894,20,3.4308,0.8918,0.2599
20895,3,2.9500,0.0000,0.0000
20896,6,2.9500,0.0000,0.0000
20897,19,3.2311,0.7487,0.2317
20898,16,2.8622,0.4224,0.1476
20899,5,2.9500,0.0000,0.0000
20901,11,9.2579,2.3987,0.2591
20902,20,9.5590,3.0220,0.3161
20903,22,8.0740,3.3795,0.4186
20905,2,6.3500,0.0000,0.0000
20906,14,3.1797,0.4607,0.1449
20910,13,7.6344,1.5116,0.1980
20913,2,3.1002,0.7240,0.2335
20914,25,2.8526,0.1213,0.0425
20931,24,3.7384,0.9528,0.2549
20932,23,4.5320,1.6213,0.3577
20933,16,3.4233,0.8129,0.2375
20934,17,6.3488,1.4524,0.2288
20935,13,2.7161,0.5295,0.1950
20936,21,3.3124,0.9883,0.2984
20939,1,0.8500,0.0000,
20940,1,2.9047,0.0000,
20941,20,1.3106,0.2875,0.2194
20942,1,1.2500,0.0000,
20943,8,1.6776,0.5409,0.3224
20950,7,0.8019,0.7822,0.9754
20952,9,0.5379,0.3477,0.6465
20953,4,1.6500,0.0000,0.0000
20954,2,8.5600,0.1273,0.0149
20956,24,1.5232,0.4091,0.2686
20957,7,1.4661,0.0425,0.0290
20958,7,1.9214,0.0756,0.0393
20960,15,1.6926,0.5572,0.3292
20961,25,1.4171,0.2556,0.1804
20963,25,1.4321,0.2474,0.1727
20964,5,2.5500,0.0000,0.0000
20966,21,1.6812,0.4859,0.2890
20967,19,3.9636,0.8726,0.2201
20968,2,5.8816,2.4585,0.4180
20969,25,3.8334,0.2911,0.0759
20970,25,3.8064,0.1857,0.0488
20971,25,1.3014,0.2112,0.1623
20972,25,1.2348,0.0659,0.0534
20973,21,0.6826,0.0577,0.0845
20974,25,0.6668,0.0381,0.0572
20975,23,0.6674,0.0302,0.0452
20976,10,0.7312,0.1451,0.1984
20977,24,1.3817,0.3435,0.2486
20978,25,1.3359,0.0840,0.0629
20979,25,1.2911,0.1142,0.0885
20980,16,1.3407,0.3483,0.2598
20981,25,0.8739,0.0423,0.0484
20982,25,0.8731,0.0352,0.0403
20983,25,0.8762,0.0451,0.0515
20984,23,0.7030,0.2818,0.4009
20985,25,1.3341,0.1819,0.1364
20986,25,1.4765,0.3237,0.2192
20987,1,2.2011,0.0000,
20988,3,1.9500,0.0000,0.0000
20989,4,1.9514,0.0582,0.0298
20990,7,1.9256,0.0837,0.0435
20991,3,0.7066,0.5237,0.7411
20992,25,0.7332,0.2449,0.3341
20993,4,0.5445,0.4524,0.8309
20994,2,0.8500,0.0000,0.0000
20996,25,0.3707,0.1301,0.3509
20997,19,4.6442,0.4861,0.1047
20998,22,3.0407,0.8118,0.2670
21000,24,3.8319,0.7197,0.1878
21001,25,5.1524,1.0736,0.2084
21002,20,3.8299,0.5782,0.1510
21003,14,6.0285,0.2321,0.0385
21004,12,4.5153,0.4675,0.1035
21007,9,0.5496,0.3483,0.6337
21008,1,2.5100,0.0000,
21009,9,1.7325,0.5939,0.3428
21010,8,1.7457,0.6358,0.3642
21011,8,0.7640,0.3356,0.4393
21012,25,2.2332,0.5132,0.2298
21014,16,0.9333,0.4128,0.4423
21015,17,1.0560,0.6422,0.6081
21016,8,1.0288,0.6097,0.5926
21017,10,1.5523,0.8504,0.5478
21018,7,0.8599,0.0261,0.0304
21025,20,1.5280,0.4985,0.3262
21026,20,1.3660,0.2943,0.2154
21027,21,1.2609,0.1459,0.1157
21028,24,1.5639,0.4979,0.3184
21030,18,1.2851,0.3128,0.2434
21031,16,1.3939,0.4524,0.3245
21032,18,1.5484,0.5543,0.3580
21033,22,2.6192,0.5537,0.2114
21034,25,0.9500,0.0000,0.0000
21035,25,3.2429,0.3992,0.1231
21036,1,2.5500,0.0000,
21038,16,2.6094,0.9381,0.3595
21039,25,2.6298,0.1605,0.0610
21040,13,2.1466,0.6691,0.3117
21041,20,3.7003,0.9124,0.2466
21042,25,6.2846,0.5928,0.0943
21043,18,5.2573,2.6375,0.5017
21051,21,2.0833,0.1987,0.0954
21054,20,9.1534,0.3866,0.0422
21055,25,10.1126,1.7725,0.1753
21056,25,10.0683,2.4870,0.2470
21058,25,0.8997,0.0835,0.0928
21059,25,0.8649,0.0523,0.0605
21060,25,0.8665,0.1112,0.1283
21061,25,0.8860,0.1516,0.1711
21062,25,0.8374,0.0941,0.1124
21063,25,0.8782,0.0430,0.0490
21064,25,5.7820,1.2504,0.2163
21065,23,5.4340,2.7230,0.5011
21066,25,1.1460,0.3288,0.2869
21067,22,1.2691,0.4304,0.3391
21068,25,1.2977,0.2664,0.2053
21069,21,1.3233,0.3121,0.2358
21070,25,1.3473,0.3775,0.2802
21071,23,1.3641,0.2198,0.1611
21076,4,0.8628,0.1362,0.1578
21077,10,0.8007,0.0830,0.1037
21078,23,0.9109,0.1156,0.1269
21080,25,0.8347,0.0614,0.0735
21081,2,0.8500,0.0000,0.0000
21082,18,1.2062,0.6783,0.5623
21084,24,0.6095,0.3272,0.5368
21085,8,0.5807,0.1921,0.3308
21086,24,0.6668,0.0670,0.1004
21087,12,0.7717,0.3434,0.4450
21088,22,0.4833,0.3503,0.7249
21089,16,0.6396,0.4510,0.7051
21090,24,0.7769,0.2541,0.3271
21091,4,0.6459,0.3680,0.5698
21092,4,0.8906,0.6533,0.7336
21094,25,0.7980,0.0621,0.0778
21095,17,0.9055,0.1073,0.1185
21096,21,0.6638,0.3230,0.4866
21097,4,0.8500,0.0000,0.0000
21098,16,1.6619,0.5055,0.3042
21099,6,0.5927,0.2460,0.4150
21100,16,2.1062,0.8231,0.3908
21102,4,2.6813,0.1370,0.0511
21106,25,3.4491,0.9289,0.2693
21107,25,3.0746,0.5953,0.1936
21108,25,2.5170,0.6758,0.2685
21109,25,6.6131,2.5742,0.3893
21110,23,6.5538,1.9745,0.3013
21111,24,3.0972,0.9803,0.3165
21112,24,3.0887,1.0195,0.3301
21114,25,1.3162,0.1009,0.0767
21115,25,7.0493,1.3443,0.1907
21116,25,6.0284,0.7218,0.1197
21117,17,1.9862,1.8103,0.9114
21118,2,1.4337,0.2598,0.1812
21119,3,13.6700,0.1732,0.0127
21120,1,16.9800,0.0000,
21121,25,1.2323,0.0480,0.0390
21122,25,1.2300,0.0454,0.0369
21123,25,1.2290,0.0848,0.0690
21124,25,1.2281,0.0503,0.0410
21125,25,1.2164,0.2132,0.1752
21126,25,1.2145,0.1915,0.1577
21127,7,6.1305,2.0803,0.3393
21128,24,8.9592,3.2476,0.3625
21129,21,9.1128,2.4253,0.2661
21130,7,3.2357,1.0284,0.3178
21131,21,5.6948,2.0361,0.3575
21132,21,5.5772,1.8809,0.3373
21133,9,1.6974,0.0222,0.0131
21134,11,1.6614,0.0377,0.0227
21135,25,1.6659,0.2774,0.1665
21136,25,1.6851,0.0917,0.0544
21137,25,3.4929,0.0764,0.0219
21143,15,2.0693,0.1971,0.0952
21144,11,0.8355,0.9431,1.1288
21145,15,2.9856,4.4131,1.4781
21146,6,2.3134,0.9297,0.4019
21147,16,2.3874,0.7129,0.2986
21153,10,12.0101,3.3226,0.2767
21154,25,1.4604,0.2341,0.1603
21155,24,2.5826,0.6115,0.2368
21156,25,1.8966,0.0882,0.0465
21157,20,2.5184,0.6166,0.2448
21158,25,1.2023,0.5616,0.4671
21159,25,1.1853,0.5188,0.4377
21160,10,1.4202,0.8082,0.5691
21161,19,1.3642,0.3995,0.2929
21162,25,1.2238,0.6091,0.4977
21163,23,1.2651,0.5943,0.4698
21164,25,2.9020,0.2035,0.0701
21165,25,1.6520,0.1497,0.0906
21166,25,2.0685,0.4800,0.2320
21167,25,0.2498,0.0585,0.2342
21169,24,1.7590,0.5510,0.3133
21171,21,1.4918,0.1457,0.0977
21172,24,1.6027,0.5479,0.3418
21173,5,1.7827,0.1345,0.0754
21174,25,2.0715,0.2461,0.1188
21175,25,2.2001,0.2562,0.1165
21179,22,1.1173,0.3678,0.3291
21181,22,2.1519,0.4735,0.2200
21185,6,6.5509,0.4301,0.0656
21186,13,1.7679,0.4900,0.2772
21187,20,1.9248,0.5428,0.2820
21188,21,3.2016,0.6089,0.1902
21189,25,2.2390,0.6000,0.2680
21190,16,1.7112,0.1639,0.0958
21191,25,2.7016,0.7999,0.2961
21192,23,2.0628,0.5463,0.2648
21193,5,2.4183,0.6862,0.2838
21194,24,2.0817,1.0160,0.4881
21195,18,2.7338,0.7569,0.2769
21196,17,1.8712,0.5562,0.2973
21197,20,1.7012,0.6159,0.3621
21198,25,1.7234,0.6540,0.3795
21199,24,1.7776,0.6789,0.3819
21200,25,1.9829,0.6792,0.3425
21201,25,2.5399,0.3429,0.1350
21202,22,1.7727,0.5902,0.3329
21203,9,1.7215,0.1215,0.0706
21204,25,1.8407,0.3729,0.2026
21205,25,2.7387,0.3846,0.1404
21206,24,1.6143,0.2587,0.1603
21207,25,1.6197,0.1213,0.0749
21208,25,1.7179,0.9543,0.5555
21209,25,1.5190,0.7772,0.5116
21210,25,1.5412,0.4685,0.3040
21211,24,1.4932,0.1432,0.0959
21212,25,0.5719,0.1216,0.2126
21213,25,0.5441,0.0691,0.1270
21214,10,1.5082,0.1217,0.0807
21215,25,0.6525,0.1778,0.2725
21216,24,5.3400,0.5248,0.0983
21217,25,10.5568,0.9644,0.0914
21218,25,4.1317,0.6813,0.1649
21219,25,1.3542,0.2139,0.1579
21220,25,1.4080,0.2547,0.1809
21221,25,1.4481,0.4121,0.2846
21222,25,1.3871,0.3297,0.2377
21223,5,1.2731,0.1238,0.0973
21224,25,1.2266,0.0936,0.0763
21225,1,1.2500,0.0000,
21226,16,1.1975,0.1435,0.1198
21228,13,1.2578,0.0282,0.0224
21231,24,1.2585,0.0817,0.0649
21232,25,1.3215,0.1023,0.0774
21238,25,0.8853,0.0693,0.0783
21239,25,0.9008,0.0723,0.0802
21240,25,0.8974,0.0824,0.0918
21241,11,0.8549,0.0399,0.0467
21242,25,1.7137,0.1244,0.0726
21243,25,1.7033,0.1408,0.0827
21244,25,1.8349,0.4688,0.2555
21245,25,1.7026,0.1038,0.0609
21246,22,4.9108,0.2929,0.0596
21247,11,1.5611,0.0847,0.0542
21248,25,1.5008,0.4076,0.2716
21249,25,3.0591,0.4399,0.1438
21250,22,3.0001,0.7162,0.2387
21251,24,3.1262,0.6223,0.1991
21252,2,2.5124,0.2499,0.0995
21253,25,4.1673,1.0255,0.2461
21255,5,1.7673,0.0798,0.0451
21256,3,1.8314,0.0809,0.0442
21257,25,9.3056,1.6423,0.1765
21258,20,14.7723,1.9719,0.1335
21259,25,6.0804,0.3052,0.0502
21260,25,3.3205,0.2101,0.0633
21261,15,4.7960,2.0369,0.4247
21262,18,4.5523,2.3051,0.5064
21263,10,2.7299,1.4410,0.5279
21264,15,3.7198,2.8681,0.7710
21265,15,3.7055,2.8936,0.7809
21266,1,4.3000,0.0000,
21267,1,3.1083,0.0000,
21268,11,0.6724,0.5318,0.7909
21269,22,9.2513,1.9204,0.2076
21270,18,12.8448,2.3328,0.1816
21272,21,1.3705,0.1107,0.0808
21274,12,13.9981,1.2978,0.0927
21275,17,17.5750,6.8651,0.3906
21276,4,4.6275,2.6883,0.5809
21277,22,24.4508,5.5378,0.2265
21278,16,2.5243,0.9060,0.3589
21279,21,2.7073,0.8950,0.3306
21280,20,2.3063,0.9059,0.3928
21281,16,2.4168,1.1654,0.4822
21282,12,4.4274,0.3891,0.0879
21283,12,3.2300,0.1989,0.0616
21284,25,1.8337,0.7011,0.3824
21285,21,2.2985,0.8476,0.3688
21286,19,2.8351,1.2383,0.4368
21287,23,0.6858,0.4961,0.7233
21288,25,3.0143,0.4438,0.1472
21289,24,1.2819,0.3322,0.2592
21290,1,1.2500,0.0000,
21291,24,0.8725,0.0692,0.0793
21292,20,0.7275,0.2367,0.3254
21293,21,2.8273,0.8403,0.2972
21294,23,1.1145,0.4967,0.4457
21298,3,21.5881,12.5477,0.5812
21299,4,11.1133,5.5608,0.5004
21300,3,31.1889,31.9371,1.0240
21303,4,14.5401,5.2699,0.3624
21304,5,9.9812,3.7950,0.3802
21306,20,1.6413,1.0367,0.6316
21307,18,2.0798,0.6986,0.3359
21308,2,8.8250,5.4094,0.6130
21309,3,8.6333,2.2805,0.2642
21310,3,29.9500,0.0000,0.0000
21311,23,1.7339,0.9644,0.5562
21312,9,7.9100,3.5120,0.4440
21313,25,0.8708,0.0854,0.0981
21314,25,2.1881,0.1498,0.0685
21316,15,3.2730,1.5832,0.4837
21317,22,5.8259,1.9668,0.3376
21318,17,1.7624,0.6932,0.3933
21319,17,1.6973,0.4782,0.2817
21320,16,2.9261,1.0154,0.3470
21321,5,2.6792,0.6849,0.2556
