rank,stock_code,cum_product_share,revenue,revenue_share,cum_revenue_share,abc_class
172,22607,0.0364,22496.7200,0.0012,0.3887,A
173,22625,0.0366,22430.9700,0.0012,0.3899,A
174,21791,0.0368,22348.3600,0.0012,0.3911,A
175,37449,0.0371,22303.4500,0.0012,0.3922,A
176,84970S,0.0373,22194.1200,0.0012,0.3934,A
177,85014A,0.0375,22183.3900,0.0012,0.3946,A
178,22556,0.0377,21951.3200,0.0012,0.3957,A
179,22585,0.0379,21827.9000,0.0011,0.3969,A
180,22499,0.0381,21673.2900,0.0011,0.3980,A
181,21210,0.0383,21624.4500,0.0011,0.3991,A
182,23344,0.0385,21527.1200,0.0011,0.4003,A
183,22113,0.0388,21426.4700,0.0011,0.4014,A
184,22456,0.0390,21359.3700,0.0011,0.4025,A
185,21213,0.0392,21307.0600,0.0011,0.4036,A
186,20749,0.0394,21105.9800,0.0011,0.4048,A
187,22969,0.0396,21098.5700,0.0011,0.4059,A
188,22570,0.0398,20901.1000,0.0011,0.4070,A
189,23202,0.0400,20797.9800,0.0011,0.4081,A
190,21258,0.0402,20710.0300,0.0011,0.4091,A
191,23209,0.0404,20651.7000,0.0011,0.4102,A
192,85048,0.0407,20616.3200,0.0011,0.4113,A
193,22424,0.0409,20521.4600,0.0011,0.4124,A
194,21218,0.0411,20520.2300,0.0011,0.4135,A
195,48116,0.0413,20499.4500,0.0011,0.4145,A
196,22294,0.0415,20489.6600,0.0011,0.4156,A
197,22356,0.0417,20340.7000,0.0011,0.4167,A
198,23206,0.0419,20328.8500,0.0011,0.4178,A
199,84997A,0.0421,20234.6500,0.0011,0.4188,A
200,21559,0.0424,20199.8700,0.0011,0.4199,A
201,22693,0.0426,20163.0600,0.0011,0.4209,A
202,22568,0.0428,20154.9700,0.0011,0.4220,A
203,22569,0.0430,20104.4300,0.0011,0.4231,A
204,22941,0.0432,20067.6500,0.0011,0.4241,A
205,22632,0.0434,19976.0600,0.0010,0.4252,A
206,22617,0.0436,19975.7400,0.0010,0.4262,A
207,22273,0.0438,19939.2500,0.0010,0.4273,A
208,85150,0.0440,19923.2000,0.0010,0.4283,A
209,21216,0.0443,19920.3900,0.0010,0.4294,A
210,21622,0.0445,19917.1400,0.0010,0.4304,A
211,20723,0.0447,19627.7300,0.0010,0.4314,A
212,22381,0.0449,19460.1100,0.0010,0.4325,A
213,48129,0.0451,19431.5700,0.0010,0.4335,A
214,22900,0.0453,19339.6900,0.0010,0.4345,A
215,22427,0.0455,19273.2800,0.0010,0.4355,A
216,22558,0.0457,19046.8300,0.0010,0.4365,A
217,22561,0.0460,19035.4500,0.0010,0.4375,A
218,22169,0.0462,18992.6500,0.0010,0.4385,A
219,21340,0.0464,18990.6700,0.0010,0.4395,A
220,21174,0.0466,18836.3900,0.0010,0.4405,A
221,71053,0.0468,18815.7800,0.0010,0.4415,A
222,22952,0.0470,18743.3400,0.0010,0.4425,A
223,21908,0.0472,18628.4100,0.0010,0.4434,A
224,47591D,0.0474,18539.6500,0.0010,0.4444,A
225,22061,0.0476,18472.3700,0.0010,0.4454,A
226,84949,0.0479,18453.0500,0.0010,0.4464,A
227,22041,0.0481,18430.3300,0.0010,0.4473,A
228,22555,0.0483,18378.4800,0.0010,0.4483,A
229,21121,0.0485,18306.4500,0.0010,0.4493,A
230,21035,0.0487,18281.3800,0.0010,0.4502,A
231,79323W,0.0489,18048.7200,0.0009,0.4512,A
232,84947,0.0491,18030.1400,0.0009,0.4521,A
233,22847,0.0493,18022.3500,0.0009,0.4531,A
234,22505,0.0496,17891.5800,0.0009,0.4540,A
235,22147,0.0498,17845.7300,0.0009,0.4549,A
236,21430,0.0500,17828.1900,0.0009,0.4559,A
237,22352,0.0502,17701.3000,0.0009,0.4568,A
238,22297,0.0504,17579.1900,0.0009,0.4577,A
239,21484,0.0506,17573.5000,0.0009,0.4587,A
240,84467,0.0508,17477.6600,0.0009,0.4596,A
241,84970L,0.0510,17386.9200,0.0009,0.4605,A
242,21136,0.0512,17303.1200,0.0009,0.4614,A
243,22366,0.0515,17209.3000,0.0009,0.4623,A
244,22776,0.0517,17201.5100,0.0009,0.4632,A
245,84945,0.0519,17168.6700,0.0009,0.4641,A
246,84992,0.0521,17137.7500,0.0009,0.4650,A
247,22557,0.0523,17096.2400,0.0009,0.4659,A
248,21914,0.0525,17072.2000,0.0009,0.4668,A
249,20718,0.0527,17055.7800,0.0009,0.4677,A
250,22652,0.0529,16794.0500,0.0009,0.4686,A
251,22560,0.0532,16789.7500,0.0009,0.4695,A
252,21535,0.0534,16765.6000,0.0009,0.4703,A
253,21156,0.0536,16744.7500,0.0009,0.4712,A
254,22654,0.0538,16710.0900,0.0009,0.4721,A
255,21889,0.0540,16674.2600,0.0009,0.4730,A
256,22633,0.0542,16632.0900,0.0009,0.4738,A
257,21533,0.0544,16471.3200,0.0009,0.4747,A
258,22837,0.0546,16455.1800,0.0009,0.4756,A
259,21164,0.0548,16431.8200,0.0009,0.4764,A
260,23240,0.0551,16305.6100,0.0009,0.4773,A
261,72760B,0.0553,16279.6700,0.0009,0.4782,A
262,35004C,0.0555,16218.1000,0.0009,0.4790,A
263,22487,0.0557,16216.0900,0.0009,0.4799,A
264,21155,0.0559,16147.9700,0.0008,0.4807,A
265,22662,0.0561,16087.3600,0.0008,0.4816,A
266,22191,0.0563,15961.7900,0.0008,0.4824,A
267,22296,0.0565,15938.5000,0.0008,0.4832,A
268,22759,0.0568,15866.5600,0.0008,0.4841,A
269,22993,0.0570,15839.8500,0.0008,0.4849,A
270,21877,0.0572,15812.9400,0.0008,0.4857,A
271,22692,0.0574,15759.1800,0.0008,0.4866,A
272,22413,0.0576,15731.5400,0.0008,0.4874,A
273,22634,0.0578,15649.6400,0.0008,0.4882,A
274,22635,0.0580,15617.5600,0.0008,0.4890,A
275,22690,0.0582,15617.0500,0.0008,0.4898,A
276,22333,0.0584,15605.0000,0.0008,0.4907,A
277,85232B,0.0587,15587.0000,0.0008,0.4915,A
278,22193,0.0589,15571.4700,0.0008,0.4923,A
279,22367,0.0591,15456.2100,0.0008,0.4931,A
280,84375,0.0593,15370.9800,0.0008,0.4939,A
281,22170,0.0595,15354.3900,0.0008,0.4947,A
282,21844,0.0597,15323.5400,0.0008,0.4955,A
283,21094,0.0599,15282.0900,0.0008,0.4963,A
284,21975,0.0601,15170.6200,0.0008,0.4971,A
285,22173,0.0604,15137.3900,0.0008,0.4979,A
286,22365,0.0606,15129.0500,0.0008,0.4987,A
287,84378,0.0608,15088.1800,0.0008,0.4995,A
288,22946,0.0610,14959.8200,0.0008,0.5003,A
289,21165,0.0612,14932.3600,0.0008,0.5011,A
290,22940,0.0614,14916.2800,0.0008,0.5019,A
291,22749,0.0616,14858.2000,0.0008,0.5027,A
292,22619,0.0618,14821.1000,0.0008,0.5034,A
293,22606,0.0620,14818.1400,0.0008,0.5042,A
294,21891,0.0623,14766.1600,0.0008,0.5050,A
295,21122,0.0625,14707.3600,0.0008,0.5058,A
296,23301,0.0627,14676.4300,0.0008,0.5065,A
297,82582,0.0629,14676.0100,0.0008,0.5073,A
298,17003,0.0631,14647.7100,0.0008,0.5081,A
299,22909,0.0633,14642.9600,0.0008,0.5088,A
300,21380,0.0635,14575.6200,0.0008,0.5096,A
301,84050,0.0637,14525.0000,0.0008,0.5104,A
302,22485,0.0640,14389.5400,0.0008,0.5111,A
303,22730,0.0642,14367.2100,0.0008,0.5119,A
304,21770,0.0644,14357.1200,0.0008,0.5126,A
305,21672,0.0646,14280.1900,0.0008,0.5134,A
306,20748,0.0648,14266.9800,0.0007,0.5141,A
307,35970,0.0650,14240.7600,0.0007,0.5149,A
308,23313,0.0652,14045.2100,0.0007,0.5156,A
309,22150,0.0654,14042.0800,0.0007,0.5164,A
310,35400,0.0657,13999.1000,0.0007,0.5171,A
311,22804,0.0659,13979.0000,0.0007,0.5178,A
312,22236,0.0661,13965.5200,0.0007,0.5186,A
313,22271,0.0663,13921.7300,0.0007,0.5193,A
314,22179,0.0665,13920.7900,0.0007,0.5200,A
315,23200,0.0667,13914.7600,0.0007,0.5208,A
316,22444,0.0669,13856.6000,0.0007,0.5215,A
317,21888,0.0671,13843.5000,0.0007,0.5222,A
318,21169,0.0673,13834.4300,0.0007,0.5229,A
319,21668,0.0676,13828.0200,0.0007,0.5237,A
320,22295,0.0678,13789.4200,0.0007,0.5244,A
321,84380,0.0680,13788.1200,0.0007,0.5251,A
322,79323P,0.0682,13787.9300,0.0007,0.5258,A
323,21669,0.0684,13765.7900,0.0007,0.5266,A
324,47556B,0.0686,13714.6600,0.0007,0.5273,A
325,22627,0.0688,13703.0400,0.0007,0.5280,A
326,21912,0.0690,13574.7300,0.0007,0.5287,A
327,21539,0.0693,13551.6400,0.0007,0.5294,A
328,21259,0.0695,13525.2100,0.0007,0.5301,A
329,21390,0.0697,13495.5100,0.0007,0.5309,A
330,21257,0.0699,13446.5300,0.0007,0.5316,A
331,21871,0.0701,13430.1800,0.0007,0.5323,A
332,22636,0.0703,13284.4000,0.0007,0.5330,A
333,21673,0.0705,13211.5500,0.0007,0.5337,A
334,15044A,0.0707,13196.3200,0.0007,0.5344,A
335,22621,0.0709,13182.2400,0.0007,0.5350,A
336,22584,0.0712,13160.7000,0.0007,0.5357,A
337,21704,0.0714,13160.5600,0.0007,0.5364,A
338,75049L,0.0716,13143.8000,0.0007,0.5371,A
339,22667,0.0718,13129.1500,0.0007,0.5378,A
340,23207,0.0720,13110.1500,0.0007,0.5385,A
341,22088,0.0722,13076.8800,0.0007,0.5392,A
342,22109,0.0724,13033.1900,0.0007,0.5399,A
343,22838,0.0726,13029.4300,0.0007,0.5406,A
344,23077,0.0729,13001.0900,0.0007,0.5412,A
345,21098,0.0731,12972.0200,0.0007,0.5419,A
346,20676,0.0733,12961.2600,0.0007,0.5426,A
347,22207,0.0735,12891.4600,0.0007,0.5433,A
348,84988,0.0737,12864.1900,0.0007,0.5440,A
349,22655,0.0739,12845.0000,0.0007,0.5446,A
350,22846,0.0741,12816.0500,0.0007,0.5453,A
351,21906,0.0743,12812.5900,0.0007,0.5460,A
352,21935,0.0745,12767.2700,0.0007,0.5466,A
353,22198,0.0748,12759.6100,0.0007,0.5473,A
354,22580,0.0750,12734.6300,0.0007,0.5480,A
355,22553,0.0752,12713.0100,0.0007,0.5487,A
356,22947,0.0754,12704.1500,0.0007,0.5493,A
357,22766,0.0756,12702.2200,0.0007,0.5500,A
358,15056P,0.0758,12681.2500,0.0007,0.5507,A
359,23108,0.0760,12592.1700,0.0007,0.5513,A
360,22464,0.0762,12568.4200,0.0007,0.5520,A
361,22303,0.0765,12503.5700,0.0007,0.5526,A
362,23356,0.0767,12426.2000,0.0007,0.5533,A
363,22623,0.0769,12300.8100,0.0006,0.5539,A
364,23343,0.0771,12263.3200,0.0006,0.5546,A
365,22616,0.0773,12244.7900,0.0006,0.5552,A
366,85042,0.0775,12234.5600,0.0006,0.5559,A
367,22646,0.0777,12208.3200,0.0006,0.5565,A
368,62018,0.0779,12181.3500,0.0006,0.5571,A
369,21671,0.0781,12174.6500,0.0006,0.5578,A
370,21124,0.0784,12129.0400,0.0006,0.5584,A
371,23174,0.0786,12126.7300,0.0006,0.5591,A
372,22631,0.0788,12073.9200,0.0006,0.5597,A
373,21937,0.0790,12027.0200,0.0006,0.5603,A
374,21670,0.0792,12009.7700,0.0006,0.5610,A
375,22082,0.0794,11989.1900,0.0006,0.5616,A
376,22301,0.0796,11955.0500,0.0006,0.5622,A
377,84212,0.0798,11930.2900,0.0006,0.5628,A
378,22243,0.0801,11860.2500,0.0006,0.5635,A
379,84987,0.0803,11855.4500,0.0006,0.5641,A
380,22729,0.0805,11830.8400,0.0006,0.5647,A
381,20969,0.0807,11808.3300,0.0006,0.5653,A
382,22192,0.0809,11808.0400,0.0006,0.5660,A
383,23328,0.0811,11747.0200,0.0006,0.5666,A
384,22488,0.0813,11715.5300,0.0006,0.5672,A
385,21242,0.0815,11701.1500,0.0006,0.5678,A
386,22144,0.0817,11697.3000,0.0006,0.5684,A
387,21428,0.0820,11657.7300,0.0006,0.5690,A
388,20975,0.0822,11653.7100,0.0006,0.5696,A
389,47567B,0.0824,11612.6500,0.0006,0.5703,A
390,21260,0.0826,11518.8000,0.0006,0.5709,A
391,22637,0.0828,11492.8200,0.0006,0.5715,A
392,22943,0.0830,11491.6300,0.0006,0.5721,A
393,22151,0.0832,11478.5700,0.0006,0.5727,A
394,22468,0.0834,11475.5200,0.0006,0.5733,A
395,22950,0.0837,11452.6400,0.0006,0.5739,A
396,21154,0.0839,11452.0500,0.0006,0.5745,A
397,22508,0.0841,11445.9000,0.0006,0.5751,A
398,22649,0.0843,11436.0500,0.0006,0.5757,A
399,22750,0.0845,11431.5100,0.0006,0.5763,A
400,22740,0.0847,11395.3100,0.0006,0.5769,A
401,22844,0.0849,11332.0000,0.0006,0.5775,A
402,22663,0.0851,11303.2900,0.0006,0.5781,A
403,21172,0.0853,11246.3000,0.0006,0.5787,A
404,21326,0.0856,11232.6600,0.0006,0.5792,A
405,82001S,0.0858,11214.4100,0.0006,0.5798,A
406,47599A,0.0860,11155.3700,0.0006,0.5804,A
407,22791,0.0862,11152.1500,0.0006,0.5810,A
408,21868,0.0864,11147.1900,0.0006,0.5816,A
409,22968,0.0866,11144.9000,0.0006,0.5822,A
410,21429,0.0868,11129.6400,0.0006,0.5828,A
411,72351B,0.0870,11113.6300,0.0006,0.5833,A
412,21735,0.0873,11112.8500,0.0006,0.5839,A
413,21922,0.0875,11109.5400,0.0006,0.5845,A
414,21787,0.0877,11093.5100,0.0006,0.5851,A
415,22417,0.0879,11075.1500,0.0006,0.5857,A
416,22834,0.0881,11064.2300,0.0006,0.5863,A
417,21749,0.0883,10980.9800,0.0006,0.5868,A
418,23300,0.0885,10967.4200,0.0006,0.5874,A
419,22130,0.0887,10945.3100,0.0006,0.5880,A
420,22668,0.0889,10854.0200,0.0006,0.5886,A
421,23170,0.0892,10839.8700,0.0006,0.5891,A
422,20828,0.0894,10831.9500,0.0006,0.5897,A
423,22694,0.0896,10826.5800,0.0006,0.5903,A
424,37370,0.0898,10821.2900,0.0006,0.5908,A
425,22620,0.0900,10773.6300,0.0006,0.5914,A
426,22904,0.0902,10755.0500,0.0006,0.5920,A
427,21086,0.0904,10753.5200,0.0006,0.5925,A
428,21558,0.0906,10753.1300,0.0006,0.5931,A
429,22812,0.0909,10726.6300,0.0006,0.5937,A
430,22988,0.0911,10716.8300,0.0006,0.5942,A
431,21907,0.0913,10696.4000,0.0006,0.5948,A
432,21498,0.0915,10694.4200,0.0006,0.5954,A
433,22795,0.0917,10644.5200,0.0006,0.5959,A
434,22274,0.0919,10593.4000,0.0006,0.5965,A
435,22768,0.0921,10590.1800,0.0006,0.5970,A
436,21624,0.0923,10570.2900,0.0006,0.5976,A
437,21974,0.0925,10527.5700,0.0006,0.5981,A
438,22348,0.0928,10524.2400,0.0006,0.5987,A
439,21833,0.0930,10522.1100,0.0006,0.5992,A
440,22349,0.0932,10514.2100,0.0006,0.5998,A
441,22595,0.0934,10457.1900,0.0005,0.6003,A
442,20754,0.0936,10444.8200,0.0005,0.6009,A
443,22064,0.0938,10392.5500,0.0005,0.6014,A
444,21982,0.0940,10337.1800,0.0005,0.6020,A
445,21890,0.0942,10334.1900,0.0005,0.6025,A
446,22302,0.0945,10319.6100,0.0005,0.6031,A
447,22418,0.0947,10310.8200,0.0005,0.6036,A
448,22089,0.0949,10285.6500,0.0005,0.6041,A
449,22120,0.0951,10244.4800,0.0005,0.6047,A
450,20979,0.0953,10203.6600,0.0005,0.6052,A
451,23581,0.0955,10188.0600,0.0005,0.6058,A
452,22992,0.0957,10155.7700,0.0005,0.6063,A
453,21531,0.0959,10148.6200,0.0005,0.6068,A
454,21033,0.0961,10132.1100,0.0005,0.6074,A
455,22174,0.0964,10128.1500,0.0005,0.6079,A
456,21781,0.0966,10125.7200,0.0005,0.6084,A
457,22180,0.0968,10103.3800,0.0005,0.6090,A
458,22380,0.0970,10091.5100,0.0005,0.6095,A
459,22748,0.0972,10073.3400,0.0005,0.6100,A
460,22771,0.0974,10019.2300,0.0005,0.6105,A
461,84792,0.0976,10012.9000,0.0005,0.6111,A
462,22970,0.0978,9914.0700,0.0005,0.6116,A
463,22840,0.0981,9904.7300,0.0005,0.6121,A
464,20682,0.0983,9889.0500,0.0005,0.6126,A
465,23208,0.0985,9877.7800,0.0005,0.6131,A
466,84880,0.0987,9864.2000,0.0005,0.6137,A
467,21892,0.0989,9845.1800,0.0005,0.6142,A
468,22131,0.0991,9828.5100,0.0005,0.6147,A
469,21756,0.0993,9809.0500,0.0005,0.6152,A
470,47570B,0.0995,9791.6700,0.0005,0.6157,A
471,21488,0.0997,9784.5800,0.0005,0.6162,A
472,22725,0.1000,9782.8600,0.0005,0.6168,A
473,20829,0.1002,9778.9600,0.0005,0.6173,A
474,22966,0.1004,9763.5500,0.0005,0.6178,A
475,79000,0.1006,9759.9100,0.0005,0.6183,A
476,23171,0.1008,9751.7300,0.0005,0.6188,A
477,22300,0.1010,9751.5700,0.0005,0.6193,A
478,22429,0.1012,9743.3000,0.0005,0.6198,A
479,22327,0.1014,9722.2200,0.0005,0.6203,A
480,22645,0.1017,9709.5300,0.0005,0.6209,A
481,22745,0.1019,9676.6500,0.0005,0.6214,A
482,22466,0.1021,9643.1300,0.0005,0.6219,A
483,20677,0.1023,9624.4800,0.0005,0.6224,A
484,23076,0.1025,9616.0800,0.0005,0.6229,A
485,84030E,0.1027,9594.4700,0.0005,0.6234,A
486,22665,0.1029,9589.8400,0.0005,0.6239,A
487,22978,0.1031,9497.7600,0.0005,0.6244,A
488,16014,0.1033,9483.7000,0.0005,0.6249,A
489,35961,0.1036,9446.4200,0.0005,0.6254,A
490,82552,0.1038,9429.6200,0.0005,0.6259,A
491,23175,0.1040,9427.0900,0.0005,0.6264,A
492,22549,0.1042,9403.5500,0.0005,0.6269,A
493,21716,0.1044,9359.6600,0.0005,0.6274,A
494,21385,0.1046,9318.3500,0.0005,0.6278,A
495,22656,0.1048,9290.0000,0.0005,0.6283,A
