stock_code,abc_class,revenue_share,cum_share,abc_source
20616,C,0.000025,0.988182,training_window
20617,C,0.000068,0.950447,training_window
20618,C,0.000038,0.979462,training_window
20619,C,0.000063,0.955432,training_window
20620,C,0.000005,0.998981,training_window
20621,C,0.000034,0.982087,training_window
20622,B,0.000076,0.941567,training_window
20652,C,0.000063,0.955243,training_window
20653,C,0.000036,0.980466,training_window
20654,C,0.000031,0.984552,training_window
20655,C,0.000035,0.981675,training_window
20657,C,0.000049,0.967630,training_window
20658,B,0.000154,0.862981,training_window
20659,C,0.000027,0.986957,training_window
20660,C,0.000007,0.998152,training_window
20661,C,0.000063,0.954486,training_window
20662,C,0.000033,0.982623,training_window
20663,C,0.000026,0.987489,training_window
20664,C,0.000007,0.998044,training_window
20665,A,0.000269,0.778693,training_window
20666,C,0.000029,0.985734,training_window
20667,C,0.000005,0.998977,training_window
20668,B,0.000094,0.923704,training_window
20669,C,0.000063,0.954802,training_window
20670,C,0.000026,0.987594,training_window
20671,B,0.000078,0.939106,training_window
20672,C,0.000015,0.994333,training_window
20673,C,0.000000,0.999972,training_window
20674,A,0.000253,0.793323,training_window
20675,A,0.000484,0.653157,training_window
20676,A,0.000763,0.524469,training_window
20677,A,0.000562,0.621266,training_window
20678,C,0.000000,0.000000,default_no_train_history
20679,A,0.001796,0.275068,training_window
20680,C,0.000001,0.999861,training_window
20681,A,0.000358,0.719442,training_window
20682,A,0.000576,0.612162,training_window
20683,C,0.000000,0.999993,training_window
20684,B,0.000141,0.878005,training_window
20685,A,0.003864,0.089070,training_window
20686,B,0.000100,0.918075,training_window
20688,C,0.000025,0.988282,training_window
20689,C,0.000046,0.971463,training_window
20692,A,0.000277,0.771329,training_window
20693,C,0.000012,0.995642,training_window
20694,C,0.000040,0.977667,training_window
20695,C,0.000045,0.973050,training_window
20696,C,0.000038,0.979575,training_window
20697,C,0.000005,0.998949,training_window
20698,C,0.000006,0.998231,training_window
20699,C,0.000058,0.959174,training_window
20700,B,0.000069,0.949493,training_window
20701,C,0.000050,0.967083,training_window
20702,B,0.000237,0.803595,training_window
20703,B,0.000150,0.867230,training_window
20704,B,0.000079,0.938636,training_window
20705,C,0.000064,0.953851,training_window
20707,B,0.000076,0.941643,training_window
20711,A,0.001606,0.308836,training_window
20712,A,0.001811,0.273272,training_window
20713,A,0.001847,0.267807,training_window
20714,C,0.000049,0.968516,training_window
20715,C,0.000032,0.983273,training_window
20716,B,0.000143,0.875733,training_window
20717,A,0.000472,0.659849,training_window
20718,A,0.001043,0.436447,training_window
20719,A,0.001412,0.349193,training_window
20721,C,0.000000,1.000000,training_window
20723,A,0.000949,0.469427,training_window
20724,A,0.001625,0.305607,training_window
20725,A,0.003804,0.092874,training_window
20726,A,0.002143,0.236622,training_window
20727,A,0.002337,0.209953,training_window
20728,A,0.002175,0.230177,training_window
20729,B,0.000134,0.885575,training_window
20730,B,0.000076,0.941491,training_window
20731,B,0.000093,0.924358,training_window
20733,B,0.000085,0.931984,training_window
20734,B,0.000111,0.908600,training_window
20735,B,0.000112,0.907039,training_window
20736,C,0.000018,0.992815,training_window
20737,C,0.000000,0.999998,training_window
20738,B,0.000098,0.920449,training_window
20739,C,0.000001,0.999958,training_window
20747,A,0.000694,0.560164,training_window
20748,A,0.001041,0.439573,training_window
20749,A,0.001143,0.411363,training_window
20750,A,0.001560,0.315150,training_window
20751,A,0.000382,0.709131,training_window
20752,B,0.000185,0.840512,training_window
20753,C,0.000038,0.979120,training_window
20754,A,0.000692,0.561548,training_window
20755,B,0.000069,0.948805,training_window
20756,C,0.000061,0.956488,training_window
20757,C,0.000061,0.956427,training_window
20758,C,0.000066,0.951779,training_window
20759,C,0.000064,0.953147,training_window
20760,B,0.000096,0.922188,training_window
20761,B,0.000084,0.932069,training_window
20762,B,0.000084,0.932910,training_window
20763,C,0.000043,0.974585,training_window
20764,B,0.000132,0.887298,training_window
20765,B,0.000076,0.941187,training_window
20766,B,0.000096,0.921709,training_window
20767,B,0.000099,0.918873,training_window
20768,B,0.000090,0.926555,training_window
20769,C,0.000049,0.968271,training_window
20770,B,0.000152,0.865119,training_window
20771,B,0.000076,0.941871,training_window
20772,B,0.000103,0.915132,training_window
20773,B,0.000071,0.946845,training_window
20774,C,0.000065,0.952434,training_window
20775,C,0.000057,0.959984,training_window
20776,C,0.000063,0.955557,training_window
20777,B,0.000079,0.937770,training_window
20778,B,0.000071,0.946420,training_window
20780,B,0.000092,0.925006,training_window
20781,C,0.000037,0.979987,training_window
20782,C,0.000064,0.953788,training_window
20783,B,0.000079,0.937534,training_window
20784,A,0.000269,0.779231,training_window
20785,A,0.000276,0.772158,training_window
20786,A,0.000266,0.782972,training_window
20787,B,0.000191,0.835632,training_window
20791,C,0.000005,0.998920,training_window
20793,C,0.000038,0.979234,training_window
20794,C,0.000038,0.979499,training_window
20795,C,0.000018,0.992532,training_window
20796,C,0.000008,0.997556,training_window
20798,B,0.000098,0.919860,training_window
20799,C,0.000027,0.987198,training_window
20800,C,0.000023,0.989400,training_window
20801,B,0.000107,0.912091,training_window
20802,B,0.000091,0.925465,training_window
20803,C,0.000066,0.951714,training_window
20804,C,0.000044,0.974195,training_window
20812,C,0.000001,0.999921,training_window
20814,C,0.000016,0.993962,training_window
20816,C,0.000009,0.997099,training_window
20818,C,0.000020,0.991291,training_window
20819,C,0.000034,0.982290,training_window
20820,C,0.000004,0.999193,training_window
20821,C,0.000018,0.992370,training_window
20822,C,0.000001,0.999955,training_window
20823,C,0.000040,0.978105,training_window
20825,B,0.000094,0.923234,training_window
20826,C,0.000022,0.990203,training_window
20827,C,0.000016,0.993947,training_window
20828,A,0.000717,0.548173,training_window
20829,A,0.000613,0.593770,training_window
20830,B,0.000068,0.949903,training_window
20831,C,0.000051,0.965916,training_window
20832,C,0.000057,0.960499,training_window
20833,C,0.000061,0.956610,training_window
20835,C,0.000004,0.999348,training_window
20836,C,0.000010,0.996484,training_window
20837,C,0.000009,0.997191,training_window
20838,C,0.000015,0.994363,training_window
20839,C,0.000028,0.986494,training_window
20840,B,0.000070,0.947759,training_window
20845,C,0.000034,0.981813,training_window
20846,B,0.000118,0.900822,training_window
20847,C,0.000016,0.994087,training_window
20848,C,0.000007,0.998051,training_window
20849,C,0.000045,0.972872,training_window
20850,C,0.000054,0.963604,training_window
20851,C,0.000032,0.983081,training_window
20854,C,0.000054,0.963872,training_window
20855,C,0.000018,0.992727,training_window
20856,C,0.000044,0.973317,training_window
20857,C,0.000031,0.984245,training_window
20858,C,0.000000,0.999970,training_window
20860,C,0.000003,0.999475,training_window
20861,C,0.000007,0.997960,training_window
20862,C,0.000052,0.965399,training_window
20863,C,0.000045,0.972423,training_window
20864,C,0.000037,0.979876,training_window
20865,C,0.000038,0.979688,training_window
20866,B,0.000075,0.942249,training_window
20867,B,0.000077,0.940804,training_window
20868,C,0.000027,0.987225,training_window
20869,C,0.000017,0.993093,training_window
20870,C,0.000004,0.999225,training_window
20871,B,0.000149,0.869320,training_window
20877,C,0.000000,0.999985,training_window
20878,B,0.000072,0.945992,training_window
20879,C,0.000005,0.998796,training_window
20881,C,0.000000,0.999995,training_window
20882,C,0.000001,0.999957,training_window
20884,C,0.000000,0.999971,training_window
20885,C,0.000000,0.999993,training_window
20886,A,0.000246,0.797792,training_window
20887,C,0.000009,0.997317,training_window
20888,C,0.000041,0.976653,training_window
20889,C,0.000030,0.984823,training_window
20890,C,0.000015,0.994272,training_window
20891,C,0.000018,0.992621,training_window
20892,B,0.000082,0.934073,training_window
20893,B,0.000079,0.937296,training_window
20894,C,0.000056,0.962014,training_window
20895,C,0.000004,0.999344,training_window
20896,C,0.000009,0.997404,training_window
20897,C,0.000048,0.969484,training_window
20898,C,0.000047,0.970436,training_window
20899,C,0.000010,0.996785,training_window
20901,C,0.000054,0.963226,training_window
20902,B,0.000094,0.923516,training_window
20903,C,0.000048,0.969244,training_window
20905,C,0.000005,0.998944,training_window
20906,C,0.000028,0.986411,training_window
20910,C,0.000058,0.959465,training_window
20913,C,0.000068,0.950582,training_window
20914,A,0.003137,0.123642,training_window
20931,B,0.000124,0.895488,training_window
20932,C,0.000050,0.967382,training_window
20933,B,0.000098,0.919663,training_window
20934,B,0.000074,0.943965,training_window
20935,C,0.000042,0.976028,training_window
20936,C,0.000049,0.968467,training_window
20939,C,0.000001,0.999951,training_window
20940,C,0.000026,0.987749,training_window
20941,C,0.000067,0.950985,training_window
20942,C,0.000001,0.999965,training_window
20943,C,0.000041,0.977183,training_window
20950,C,0.000027,0.987305,training_window
20952,C,0.000011,0.996125,training_window
20953,C,0.000004,0.999197,training_window
20954,C,0.000002,0.999782,training_window
20956,B,0.000165,0.854535,training_window
20957,C,0.000014,0.994953,training_window
20958,C,0.000005,0.998713,training_window
20960,B,0.000192,0.834485,training_window
20961,A,0.000286,0.766817,training_window
20963,A,0.000276,0.771605,training_window
20964,C,0.000004,0.999244,training_window
20966,A,0.000319,0.743645,training_window
20967,A,0.000300,0.755395,training_window
20968,C,0.000014,0.994897,training_window
20969,A,0.000463,0.663583,training_window
20970,A,0.000480,0.655568,training_window
20971,A,0.001323,0.366923,training_window
20972,A,0.001415,0.346367,training_window
20973,A,0.000358,0.719084,training_window
20974,A,0.000457,0.668183,training_window
20975,A,0.000750,0.534261,training_window
20976,C,0.000028,0.985962,training_window
20977,A,0.000263,0.785350,training_window
20978,A,0.000288,0.764526,training_window
20979,A,0.000528,0.634346,training_window
20980,C,0.000018,0.992710,training_window
20981,B,0.000221,0.813916,training_window
20982,B,0.000213,0.819543,training_window
20983,A,0.000288,0.764238,training_window
20984,C,0.000066,0.951845,training_window
20985,B,0.000159,0.858591,training_window
20986,C,0.000063,0.955495,training_window
20987,C,0.000022,0.990356,training_window
20988,C,0.000004,0.999359,training_window
20989,C,0.000059,0.958764,training_window
20990,B,0.000128,0.891065,training_window
20991,C,0.000067,0.951119,training_window
20992,B,0.000121,0.898549,training_window
20993,B,0.000100,0.917674,training_window
20994,C,0.000003,0.999546,training_window
20996,B,0.000084,0.932238,training_window
20997,C,0.000042,0.976279,training_window
20998,C,0.000061,0.956793,training_window
21000,B,0.000119,0.899753,training_window
21001,C,0.000040,0.978184,training_window
21002,B,0.000111,0.908046,training_window
21003,C,0.000022,0.989694,training_window
21004,C,0.000047,0.970577,training_window
21007,B,0.000069,0.949219,training_window
21008,C,0.000000,0.999996,training_window
21009,B,0.000112,0.906926,training_window
21010,B,0.000084,0.932994,training_window
21011,B,0.000103,0.915235,training_window
21012,B,0.000217,0.816100,training_window
21014,C,0.000036,0.980936,training_window
21015,C,0.000018,0.992424,training_window
21016,C,0.000044,0.973933,training_window
21017,C,0.000040,0.977426,training_window
21018,C,0.000014,0.995036,training_window
21025,C,0.000022,0.990050,training_window
21026,C,0.000041,0.977143,training_window
21027,C,0.000029,0.985791,training_window
21028,C,0.000023,0.989100,training_window
21030,C,0.000016,0.993529,training_window
21031,C,0.000012,0.995894,training_window
21032,C,0.000016,0.993899,training_window
21033,A,0.000609,0.595603,training_window
21034,B,0.000205,0.825374,training_window
21035,A,0.001100,0.423623,training_window
21036,C,0.000000,0.999995,training_window
21038,C,0.000027,0.987145,training_window
21039,B,0.000220,0.814136,training_window
21040,B,0.000085,0.931900,training_window
21041,A,0.000579,0.610432,training_window
21042,A,0.000608,0.596821,training_window
21043,B,0.000144,0.874300,training_window
21051,B,0.000104,0.914406,training_window
21054,A,0.000263,0.785087,training_window
21055,B,0.000223,0.813030,training_window
21056,A,0.000325,0.739791,training_window
21058,B,0.000122,0.897454,training_window
21059,B,0.000079,0.938558,training_window
21060,C,0.000055,0.962734,training_window
21061,C,0.000060,0.957578,training_window
21062,C,0.000047,0.970247,training_window
21063,B,0.000077,0.940344,training_window
21064,A,0.000253,0.793071,training_window
21065,B,0.000074,0.943669,training_window
21066,B,0.000070,0.947127,training_window
21067,A,0.000280,0.770215,training_window
21068,A,0.000248,0.795570,training_window
21069,A,0.000293,0.761625,training_window
21070,B,0.000090,0.926826,training_window
21071,A,0.000339,0.728503,training_window
21076,C,0.000054,0.963550,training_window
21077,B,0.000155,0.862673,training_window
21078,A,0.000384,0.707984,training_window
21080,A,0.001524,0.324381,training_window
21081,C,0.000000,0.999992,training_window
21082,B,0.000145,0.872998,training_window
21084,C,0.000047,0.970342,training_window
21085,B,0.000141,0.878287,training_window
21086,A,0.000637,0.581297,training_window
21087,C,0.000013,0.995456,training_window
21088,B,0.000124,0.895364,training_window
21089,C,0.000006,0.998251,training_window
21090,B,0.000081,0.935456,training_window
21091,B,0.000141,0.878990,training_window
21092,B,0.000118,0.900940,training_window
21094,A,0.000894,0.485915,training_window
21095,C,0.000020,0.991532,training_window
21096,B,0.000189,0.837147,training_window
21097,C,0.000002,0.999764,training_window
21098,A,0.000725,0.544572,training_window
21099,B,0.000114,0.904773,training_window
21100,A,0.000285,0.767388,training_window
21102,C,0.000017,0.993380,training_window
21106,B,0.000149,0.868873,training_window
21107,A,0.000385,0.706830,training_window
21108,A,0.001655,0.299075,training_window
21109,A,0.000255,0.791297,training_window
21110,A,0.000514,0.643183,training_window
21111,B,0.000191,0.835059,training_window
21112,A,0.000321,0.741406,training_window
21114,A,0.000493,0.651211,training_window
21115,A,0.000422,0.680896,training_window
21116,A,0.000397,0.700192,training_window
21117,C,0.000030,0.984882,training_window
21118,C,0.000008,0.997757,training_window
21119,C,0.000003,0.999522,training_window
21120,C,0.000001,0.999887,training_window
21121,A,0.001034,0.443724,training_window
21122,A,0.000840,0.499654,training_window
21123,B,0.000191,0.835441,training_window
21124,A,0.000701,0.555977,training_window
21125,B,0.000127,0.892725,training_window
21126,B,0.000149,0.869171,training_window
21127,B,0.000075,0.942625,training_window
21128,C,0.000048,0.969388,training_window
21129,C,0.000051,0.966326,training_window
21130,B,0.000090,0.926735,training_window
21131,B,0.000069,0.949288,training_window
21132,C,0.000029,0.985589,training_window
21133,C,0.000054,0.963765,training_window
21134,C,0.000049,0.968662,training_window
21135,A,0.000497,0.649233,training_window
21136,A,0.000981,0.458841,training_window
21137,A,0.002839,0.156147,training_window
21143,A,0.000309,0.750213,training_window
21144,C,0.000022,0.990399,training_window
21145,B,0.000090,0.927006,training_window
21146,B,0.000114,0.905229,training_window
21147,C,0.000041,0.976899,training_window
21153,A,0.000323,0.740762,training_window
21154,A,0.000623,0.587596,training_window
21155,A,0.000859,0.492876,training_window
21156,A,0.001029,0.445785,training_window
21157,B,0.000120,0.899514,training_window
21158,B,0.000089,0.928080,training_window
21159,B,0.000073,0.944622,training_window
21160,C,0.000042,0.975861,training_window
21161,B,0.000135,0.884231,training_window
21162,B,0.000080,0.935859,training_window
21163,B,0.000098,0.920351,training_window
21164,A,0.001073,0.429039,training_window
21165,A,0.000827,0.504638,training_window
21166,A,0.001892,0.256630,training_window
21167,C,0.000026,0.987542,training_window
21169,A,0.000749,0.535759,training_window
21171,B,0.000170,0.851023,training_window
21172,A,0.000604,0.597425,training_window
21173,C,0.000046,0.972014,training_window
21174,A,0.000970,0.461755,training_window
21175,A,0.002293,0.214562,training_window
21179,B,0.000206,0.823731,training_window
21181,A,0.002756,0.164513,training_window
21185,C,0.000066,0.951582,training_window
21186,A,0.000642,0.578108,training_window
21187,B,0.000161,0.857791,training_window
21188,B,0.000180,0.845265,training_window
21189,B,0.000084,0.933078,training_window
21190,B,0.000100,0.918175,training_window
21191,B,0.000207,0.822490,training_window
21192,B,0.000198,0.830010,training_window
21193,C,0.000021,0.990925,training_window
21194,C,0.000031,0.983934,training_window
21195,B,0.000160,0.858432,training_window
21196,C,0.000016,0.994134,training_window
21197,C,0.000030,0.984733,training_window
21198,B,0.000075,0.942324,training_window
21199,B,0.000089,0.927724,training_window
21200,B,0.000077,0.940881,training_window
21201,A,0.000342,0.727482,training_window
21202,B,0.000077,0.940957,training_window
21203,B,0.000190,0.836012,training_window
21204,B,0.000167,0.853208,training_window
21205,B,0.000110,0.909483,training_window
21206,B,0.000188,0.837902,training_window
21207,A,0.000327,0.737839,training_window
21208,C,0.000050,0.967581,training_window
21209,B,0.000072,0.945777,training_window
21210,A,0.001281,0.378654,training_window
21211,B,0.000196,0.830996,training_window
21212,A,0.003171,0.120505,training_window
21213,A,0.001260,0.386251,training_window
21214,B,0.000220,0.814576,training_window
21215,B,0.000168,0.852203,training_window
21216,A,0.001105,0.420316,training_window
21217,A,0.001873,0.260381,training_window
21218,A,0.001228,0.392452,training_window
21219,B,0.000077,0.939727,training_window
21220,C,0.000047,0.970295,training_window
21221,C,0.000043,0.974412,training_window
21222,C,0.000047,0.970671,training_window
21223,C,0.000044,0.973494,training_window
21224,B,0.000159,0.859068,training_window
21225,C,0.000000,0.999997,training_window
21226,C,0.000011,0.996102,training_window
21228,C,0.000009,0.997136,training_window
21231,A,0.001543,0.321333,training_window
21232,A,0.003097,0.126739,training_window
21238,A,0.000496,0.649730,training_window
21239,A,0.000396,0.700985,training_window
21240,A,0.000408,0.693352,training_window
21241,B,0.000141,0.878850,training_window
21242,A,0.000695,0.559470,training_window
21243,A,0.000571,0.615600,training_window
21244,A,0.000523,0.636969,training_window
21245,A,0.000259,0.788216,training_window
21246,B,0.000236,0.804778,training_window
21247,C,0.000050,0.967133,training_window
21248,B,0.000081,0.935132,training_window
21249,A,0.000266,0.782440,training_window
21250,C,0.000062,0.955807,training_window
21251,B,0.000104,0.914925,training_window
21252,C,0.000031,0.984429,training_window
21253,C,0.000068,0.950176,training_window
21255,C,0.000065,0.952824,training_window
21256,C,0.000044,0.973361,training_window
21257,A,0.000743,0.537248,training_window
21258,A,0.001382,0.354759,training_window
21259,A,0.000834,0.500488,training_window
21260,A,0.000739,0.538726,training_window
21261,C,0.000047,0.970952,training_window
21262,B,0.000115,0.904088,training_window
21263,C,0.000025,0.988081,training_window
21264,C,0.000029,0.985877,training_window
21265,C,0.000035,0.981641,training_window
21266,C,0.000007,0.997886,training_window
21267,C,0.000006,0.998582,training_window
21268,C,0.000020,0.991611,training_window
21269,B,0.000068,0.949630,training_window
21270,C,0.000051,0.966529,training_window
21272,B,0.000228,0.809652,training_window
21274,B,0.000182,0.843819,training_window
21275,B,0.000128,0.891832,training_window
21276,B,0.000117,0.901882,training_window
21277,B,0.000072,0.945489,training_window
21278,B,0.000122,0.898064,training_window
21279,B,0.000114,0.904659,training_window
21280,B,0.000129,0.889647,training_window
21281,B,0.000129,0.890808,training_window
21282,B,0.000114,0.904202,training_window
21283,B,0.000123,0.896964,training_window
21284,B,0.000111,0.908932,training_window
21285,B,0.000082,0.934155,training_window
21286,B,0.000101,0.917372,training_window
21287,B,0.000102,0.916564,training_window
21288,B,0.000145,0.873434,training_window
21289,B,0.000090,0.927366,training_window
21290,C,0.000000,0.999997,training_window
21291,B,0.000117,0.902583,training_window
21292,B,0.000089,0.927545,training_window
21293,C,0.000050,0.966933,training_window
21294,B,0.000101,0.917271,training_window
21298,C,0.000057,0.960556,training_window
21299,B,0.000073,0.944768,training_window
21300,C,0.000063,0.954549,training_window
21303,B,0.000074,0.943817,training_window
21304,C,0.000044,0.973139,training_window
21306,C,0.000014,0.994813,training_window
21307,C,0.000047,0.970105,training_window
21308,C,0.000053,0.964139,training_window
21309,C,0.000024,0.988579,training_window
21310,C,0.000014,0.995117,training_window
21311,C,0.000030,0.985150,training_window
21312,B,0.000089,0.928614,training_window
21313,A,0.000335,0.731879,training_window
21314,A,0.001476,0.331868,training_window
21316,B,0.000086,0.930191,training_window
21317,B,0.000070,0.947479,training_window
21318,C,0.000068,0.950379,training_window
21319,C,0.000056,0.961401,training_window
21320,B,0.000069,0.949356,training_window
21321,C,0.000023,0.989559,training_window
21322,C,0.000044,0.973228,training_window
21323,B,0.000189,0.837713,training_window
21324,B,0.000214,0.818903,training_window
21326,A,0.000583,0.607528,training_window
21327,B,0.000185,0.841250,training_window
21328,B,0.000241,0.802163,training_window
21329,B,0.000200,0.829214,training_window
21330,B,0.000185,0.841066,training_window
21331,C,0.000064,0.954042,training_window
21332,B,0.000122,0.897086,training_window
21333,B,0.000240,0.802403,training_window
21335,B,0.000074,0.943446,training_window
21336,C,0.000039,0.978772,training_window
21337,C,0.000008,0.997765,training_window
21338,C,0.000066,0.951911,training_window
21339,C,0.000041,0.976776,training_window
21340,A,0.001054,0.434354,training_window
21341,C,0.000031,0.984276,training_window
21343,C,0.000007,0.998016,training_window
21344,C,0.000046,0.971877,training_window
21347,C,0.000004,0.999337,training_window
21348,B,0.000153,0.864054,training_window
21349,A,0.000299,0.756592,training_window
21350,C,0.000049,0.968564,training_window
21351,A,0.000246,0.797546,training_window
21352,B,0.000163,0.856336,training_window
